Date Time,Discharge (l/min),SC (microSiemens/cm)
6-29-2016 15:00,1114551,129
6-29-2016 15:15,1114551,131
6-29-2016 15:30,1106056,132
6-29-2016 15:45,1114551,132
6-29-2016 16:00,1106056,132
6-29-2016 16:15,1106056,132
6-29-2016 16:30,1095862,132
6-29-2016 16:45,1106056,132
6-29-2016 17:00,1106056,132
6-29-2016 17:15,1106056,132
6-29-2016 17:30,1106056,132
6-29-2016 17:45,1106056,132
6-29-2016 18:00,1106056,132
6-29-2016 18:15,1106056,132
6-29-2016 18:30,1106056,132
6-29-2016 18:45,1095862,132
6-29-2016 19:00,1106056,132
6-29-2016 19:15,1106056,132
6-29-2016 19:30,1114551,132
6-29-2016 19:45,1124745,132
6-29-2016 20:00,1106056,132
6-29-2016 20:15,1114551,132
6-29-2016 20:30,1095862,132
6-29-2016 20:45,1095862,132
6-29-2016 21:00,1106056,132
6-29-2016 21:15,1106056,132
6-29-2016 21:30,1106056,132
6-29-2016 21:45,1087367,131
6-29-2016 22:00,1095862,131
6-29-2016 22:15,1087367,131
6-29-2016 22:30,1095862,131
6-29-2016 22:45,1087367,131
6-29-2016 23:00,1087367,131
6-29-2016 23:15,1077173,131
6-29-2016 23:30,1077173,131
6-29-2016 23:45,1077173,131
6-30-2016 0:00,1087367,131
6-30-2016 0:15,1077173,131
6-30-2016 0:30,1087367,131
6-30-2016 0:45,1087367,130
6-30-2016 1:00,1077173,130
6-30-2016 1:15,1087367,130
6-30-2016 1:30,1077173,130
6-30-2016 1:45,1077173,130
6-30-2016 2:00,1087367,130
6-30-2016 2:15,1077173,130
6-30-2016 2:30,1087367,130
6-30-2016 2:45,1077173,130
6-30-2016 3:00,1087367,130
6-30-2016 3:15,1077173,130
6-30-2016 3:30,1087367,130
6-30-2016 3:45,1087367,130
6-30-2016 4:00,1087367,130
6-30-2016 4:15,1087367,130
6-30-2016 4:30,1087367,130
6-30-2016 4:45,1087367,130
6-30-2016 5:00,1087367,130
6-30-2016 5:15,1087367,130
6-30-2016 5:30,1087367,130
6-30-2016 5:45,1087367,130
6-30-2016 6:00,1087367,130
6-30-2016 6:15,1095862,130
6-30-2016 6:30,1087367,130
6-30-2016 6:45,1087367,130
6-30-2016 7:00,1095862,130
6-30-2016 7:15,1087367,130
6-30-2016 7:30,1095862,130
6-30-2016 7:45,1095862,130
6-30-2016 8:00,1095862,130
6-30-2016 8:15,1087367,130
6-30-2016 8:30,1095862,130
6-30-2016 8:45,1095862,130
6-30-2016 9:00,1095862,130
6-30-2016 9:15,1095862,130
6-30-2016 9:30,1095862,130
6-30-2016 9:45,1106056,130
6-30-2016 10:00,1106056,130
6-30-2016 10:15,1106056,130
6-30-2016 10:30,1106056,130
6-30-2016 10:45,1106056,130
6-30-2016 11:00,1106056,130
6-30-2016 11:15,1114551,130
6-30-2016 11:30,1106056,130
6-30-2016 11:45,1114551,130
6-30-2016 12:00,1106056,130
6-30-2016 12:15,1106056,130
6-30-2016 12:30,1106056,130
6-30-2016 12:45,1106056,130
6-30-2016 13:00,1106056,130
6-30-2016 13:15,1106056,130
6-30-2016 13:30,1106056,130
6-30-2016 13:45,1114551,130
6-30-2016 14:00,1114551,130
6-30-2016 14:15,1106056,130
6-30-2016 14:30,1106056,130
6-30-2016 14:45,1106056,130
6-30-2016 15:00,1106056,130
6-30-2016 15:15,1106056,131
6-30-2016 15:30,1114551,131
6-30-2016 15:45,1106056,131
6-30-2016 16:00,1106056,131
6-30-2016 16:15,1114551,131
6-30-2016 16:30,1114551,131
6-30-2016 16:45,1106056,131
6-30-2016 17:00,1106056,131
6-30-2016 17:15,1106056,131
6-30-2016 17:30,1114551,131
6-30-2016 17:45,1106056,131
6-30-2016 18:00,1106056,131
6-30-2016 18:15,1106056,131
6-30-2016 18:30,1106056,131
6-30-2016 18:45,1106056,131
6-30-2016 19:00,1106056,131
6-30-2016 19:15,1095862,132
6-30-2016 19:30,1095862,131
6-30-2016 19:45,1095862,132
6-30-2016 20:00,1095862,132
6-30-2016 20:15,1095862,132
6-30-2016 20:30,1095862,132
6-30-2016 20:45,1095862,132
6-30-2016 21:00,1087367,132
6-30-2016 21:15,1087367,132
6-30-2016 21:30,1087367,132
6-30-2016 21:45,1095862,132
6-30-2016 22:00,1087367,131
6-30-2016 22:15,1087367,131
6-30-2016 22:30,1087367,132
6-30-2016 22:45,1087367,132
6-30-2016 23:00,1087367,131
6-30-2016 23:15,1077173,132
6-30-2016 23:30,1087367,131
6-30-2016 23:45,1077173,131
7-1-2016 0:00,1077173,131
7-1-2016 0:15,1077173,131
7-1-2016 0:30,1077173,131
7-1-2016 0:45,1077173,131
7-1-2016 1:00,1068678,131
7-1-2016 1:15,1077173,131
7-1-2016 1:30,1077173,131
7-1-2016 1:45,1068678,131
7-1-2016 2:00,1077173,131
7-1-2016 2:15,1077173,131
7-1-2016 2:30,1077173,131
7-1-2016 2:45,1068678,131
7-1-2016 3:00,1077173,131
7-1-2016 3:15,1068678,131
7-1-2016 3:30,1077173,131
7-1-2016 3:45,1068678,131
7-1-2016 4:00,1077173,131
7-1-2016 4:15,1077173,130
7-1-2016 4:30,1068678,130
7-1-2016 4:45,1068678,130
7-1-2016 5:00,1068678,130
7-1-2016 5:15,1077173,131
7-1-2016 5:30,1077173,131
7-1-2016 5:45,1077173,131
7-1-2016 6:00,1077173,131
7-1-2016 6:15,1077173,131
7-1-2016 6:30,1077173,131
7-1-2016 6:45,1068678,131
7-1-2016 7:00,1077173,131
7-1-2016 7:15,1068678,131
7-1-2016 7:30,1077173,131
7-1-2016 7:45,1087367,131
7-1-2016 8:00,1077173,131
7-1-2016 8:15,1077173,131
7-1-2016 8:30,1087367,131
7-1-2016 8:45,1077173,131
7-1-2016 9:00,1087367,131
7-1-2016 9:15,1087367,131
7-1-2016 9:30,1087367,130
7-1-2016 9:45,1087367,131
7-1-2016 10:00,1087367,131
7-1-2016 10:15,1087367,131
7-1-2016 10:30,1087367,131
7-1-2016 10:45,1095862,131
7-1-2016 11:00,1087367,131
7-1-2016 11:15,1087367,131
7-1-2016 11:30,1087367,131
7-1-2016 11:45,1087367,131
7-1-2016 12:00,1095862,131
7-1-2016 12:15,1095862,131
7-1-2016 12:30,1106056,131
7-1-2016 12:45,1095862,131
7-1-2016 13:00,1087367,131
7-1-2016 13:15,1095862,131
7-1-2016 13:30,1095862,131
7-1-2016 13:45,1106056,132
7-1-2016 14:00,1095862,132
7-1-2016 14:15,1095862,132
7-1-2016 14:30,1095862,132
7-1-2016 14:45,1095862,132
7-1-2016 15:00,1095862,132
7-1-2016 15:15,1106056,132
7-1-2016 15:30,1106056,132
7-1-2016 15:45,1095862,132
7-1-2016 16:00,1095862,132
7-1-2016 16:15,1095862,132
7-1-2016 16:30,1095862,132
7-1-2016 16:45,1095862,132
7-1-2016 17:00,1095862,132
7-1-2016 17:15,1087367,132
7-1-2016 17:30,1087367,133
7-1-2016 17:45,1095862,133
7-1-2016 18:00,1087367,133
7-1-2016 18:15,1077173,133
7-1-2016 18:30,1087367,133
7-1-2016 18:45,1087367,133
7-1-2016 19:00,1087367,133
7-1-2016 19:15,1077173,133
7-1-2016 19:30,1087367,133
7-1-2016 19:45,1087367,133
7-1-2016 20:00,1087367,133
7-1-2016 20:15,1068678,133
7-1-2016 20:30,1077173,133
7-1-2016 20:45,1087367,133
7-1-2016 21:00,1077173,133
7-1-2016 21:15,1077173,133
7-1-2016 21:30,1077173,133
7-1-2016 21:45,1077173,133
7-1-2016 22:00,1077173,133
7-1-2016 22:15,1077173,133
7-1-2016 22:30,1077173,133
7-1-2016 22:45,1077173,133
7-1-2016 23:00,1077173,133
7-1-2016 23:15,1087367,133
7-1-2016 23:30,1087367,133
7-1-2016 23:45,1087367,133
7-2-2016 0:00,1087367,132
7-2-2016 0:15,1087367,132
7-2-2016 0:30,1087367,132
7-2-2016 0:45,1095862,132
7-2-2016 1:00,1106056,132
7-2-2016 1:15,1114551,132
7-2-2016 1:30,1134939,132
7-2-2016 1:45,1124745,132
7-2-2016 2:00,1124745,132
7-2-2016 2:15,1124745,132
7-2-2016 2:30,1124745,132
7-2-2016 2:45,1134939,132
7-2-2016 3:00,1143434,132
7-2-2016 3:15,1143434,132
7-2-2016 3:30,1153628,132
7-2-2016 3:45,1174016,131
7-2-2016 4:00,1192706,131
7-2-2016 4:15,1192706,131
7-2-2016 4:30,1202900,131
7-2-2016 4:45,1213094,131
7-2-2016 5:00,1202900,131
7-2-2016 5:15,1202900,131
7-2-2016 5:30,1213094,131
7-2-2016 5:45,1213094,131
7-2-2016 6:00,1213094,131
7-2-2016 6:15,1213094,131
7-2-2016 6:30,1202900,132
7-2-2016 6:45,1213094,133
7-2-2016 7:00,1192706,134
7-2-2016 7:15,1202900,134
7-2-2016 7:30,1192706,135
7-2-2016 7:45,1192706,135
7-2-2016 8:00,1184211,136
7-2-2016 8:15,1174016,136
7-2-2016 8:30,1184211,136
7-2-2016 8:45,1184211,136
7-2-2016 9:00,1184211,136
7-2-2016 9:15,1174016,135
7-2-2016 9:30,1163822,135
7-2-2016 9:45,1174016,134
7-2-2016 10:00,1163822,133
7-2-2016 10:15,1174016,132
7-2-2016 10:30,1153628,131
7-2-2016 10:45,1153628,130
7-2-2016 11:00,1143434,128
7-2-2016 11:15,1153628,127
7-2-2016 11:30,1153628,126
7-2-2016 11:45,1143434,125
7-2-2016 12:00,1143434,125
7-2-2016 12:15,1143434,124
7-2-2016 12:30,1153628,124
7-2-2016 12:45,1143434,124
7-2-2016 13:00,1153628,125
7-2-2016 13:15,1143434,125
7-2-2016 13:30,1134939,125
7-2-2016 13:45,1143434,125
7-2-2016 14:00,1124745,125
7-2-2016 14:15,1134939,124
7-2-2016 14:30,1143434,124
7-2-2016 14:45,1143434,123
7-2-2016 15:00,1124745,122
7-2-2016 15:15,1134939,122
7-2-2016 15:30,1124745,122
