Date Time (MDT), Avg Chloride Load (g/min)
05-16 00:00,32426.39011
05-16 00:15,32712.98546
05-16 00:30,32711.34308
05-16 00:45,32834.71981
05-16 01:00,32762.20023
05-16 01:15,33274.67948
05-16 01:30,33655.76832
05-16 01:45,33463.60984
05-16 02:00,34077.49192
05-16 02:15,34055.82949
05-16 02:30,34515.63931
05-16 02:45,34517.50823
05-16 03:00,34402.71152
05-16 03:15,34642.72556
05-16 03:30,34445.0736
05-16 03:45,34447.02746
05-16 04:00,34513.65713
05-16 04:15,35820.00068
05-16 04:30,35769.51165
05-16 04:45,35705.57208
05-16 05:00,35979.36819
05-16 05:15,35931.71085
05-16 05:30,35952.52377
05-16 05:45,36015.98194
05-16 06:00,36004.03221
05-16 06:15,35800.49033
05-16 06:30,35466.23764
05-16 06:45,35553.90676
05-16 07:00,35121.30949
05-16 07:15,35064.1943
05-16 07:30,34733.67944
05-16 07:45,34567.37429
05-16 08:00,34687.72111
05-16 08:15,34551.63009
05-16 08:30,34453.03065
05-16 08:45,34362.21835
05-16 09:00,34105.1009
05-16 09:15,34070.24279
05-16 09:30,33810.40692
05-16 09:45,33456.64389
05-16 10:00,33188.87928
05-16 10:15,33263.57926
05-16 10:30,33014.81529
05-16 10:45,32758.54735
05-16 11:00,32728.10668
05-16 11:15,32853.26738
05-16 11:30,32880.87636
05-16 11:45,32766.39113
05-16 12:00,32474.72706
05-16 12:15,32833.21901
05-16 12:30,32457.65197
05-16 12:45,32705.39653
05-16 13:00,32531.44581
05-16 13:15,32506.44199
05-16 13:30,32687.24539
05-16 13:45,32492.34017
05-16 14:00,32796.52032
05-16 14:15,32744.36058
05-16 14:30,32910.63742
05-16 14:45,33231.38294
05-16 15:00,33114.46247
05-16 15:15,33292.57577
05-16 15:30,33389.33461
05-16 15:45,33829.09607
05-16 16:00,33671.82401
05-16 16:15,34078.17152
05-16 16:30,34405.0335
05-16 16:45,34084.59946
05-16 17:00,34427.34722
05-16 17:15,34598.12644
