Date-Time(MDT),Discharge(l/min),SC (microSiemens/cm)
04-13-2017 00:00,524995.326,514
04-13-2017 00:15,530092.368,513
04-13-2017 00:30,530092.368,511
04-13-2017 00:45,530092.368,510
04-13-2017 01:00,530092.368,508
04-13-2017 01:15,535189.41,507
04-13-2017 01:30,535189.41,506
04-13-2017 01:45,535189.41,504
04-13-2017 02:00,541985.466,502
04-13-2017 02:15,541985.466,500
04-13-2017 02:30,541985.466,498
04-13-2017 02:45,541985.466,496
04-13-2017 03:00,541985.466,495
04-13-2017 03:15,535189.41,493
04-13-2017 03:30,541985.466,493
04-13-2017 03:45,541985.466,493
04-13-2017 04:00,541985.466,493
04-13-2017 04:15,547082.508,493
04-13-2017 04:30,547082.508,493
04-13-2017 04:45,541985.466,492
04-13-2017 05:00,547082.508,492
04-13-2017 05:15,547082.508,491
04-13-2017 05:30,547082.508,491
04-13-2017 05:45,547082.508,490
04-13-2017 06:00,541985.466,489
04-13-2017 06:15,541985.466,488
04-13-2017 06:30,535189.41,487
04-13-2017 06:45,541985.466,487
04-13-2017 07:00,541985.466,486
04-13-2017 07:15,535189.41,485
04-13-2017 07:30,535189.41,484
04-13-2017 07:45,535189.41,483
04-13-2017 08:00,535189.41,480
04-13-2017 08:15,535189.41,479
04-13-2017 08:30,535189.41,478
04-13-2017 08:45,535189.41,478
04-13-2017 09:00,530092.368,477
04-13-2017 09:15,530092.368,477
04-13-2017 09:30,530092.368,476
04-13-2017 09:45,530092.368,476
04-13-2017 10:00,530092.368,476
04-13-2017 10:15,530092.368,476
04-13-2017 10:30,530092.368,477
04-13-2017 10:45,524995.326,478
04-13-2017 11:00,530092.368,479
04-13-2017 11:15,524995.326,481
04-13-2017 11:30,524995.326,483
04-13-2017 11:45,524995.326,485
04-13-2017 12:00,524995.326,486
04-13-2017 12:15,524995.326,486
04-13-2017 12:30,518199.27,486
04-13-2017 12:45,518199.27,485
04-13-2017 13:00,524995.326,484
04-13-2017 13:15,518199.27,484
04-13-2017 13:30,518199.27,484
04-13-2017 13:45,513102.228,484
04-13-2017 14:00,513102.228,484
04-13-2017 14:15,513102.228,485
04-13-2017 14:30,513102.228,486
04-13-2017 14:45,518199.27,487
04-13-2017 15:00,513102.228,487
04-13-2017 15:15,513102.228,488
04-13-2017 15:30,513102.228,489
04-13-2017 15:45,513102.228,485
04-13-2017 16:00,508005.186,488
04-13-2017 16:15,502908.144,491
04-13-2017 16:30,508005.186,491
04-13-2017 16:45,502908.144,490
04-13-2017 17:00,508005.186,490
04-13-2017 17:15,508005.186,489
04-13-2017 17:30,508005.186,489
04-13-2017 17:45,508005.186,490
04-13-2017 18:00,508005.186,489
04-13-2017 18:15,508005.186,489
04-13-2017 18:30,508005.186,490
04-13-2017 18:45,513102.228,490
04-13-2017 19:00,513102.228,490
04-13-2017 19:15,518199.27,490
04-13-2017 19:30,518199.27,490
04-13-2017 19:45,518199.27,490
04-13-2017 20:00,530092.368,489
04-13-2017 20:15,530092.368,489
04-13-2017 20:30,535189.41,490
04-13-2017 20:45,541985.466,490
04-13-2017 21:00,547082.508,490
04-13-2017 21:15,553878.564,490
04-13-2017 21:30,553878.564,489
04-13-2017 21:45,558975.606,487
04-13-2017 22:00,558975.606,486
04-13-2017 22:15,565771.662,484
04-13-2017 22:30,565771.662,483
04-13-2017 22:45,572567.718,481
04-13-2017 23:00,579363.774,479
04-13-2017 23:15,579363.774,477
04-13-2017 23:30,584460.816,475
04-13-2017 23:45,591256.872,474
04-14-2017 00:00,591256.872,473
04-14-2017 00:15,598052.928,472
04-14-2017 00:30,598052.928,470
04-14-2017 00:45,598052.928,468
04-14-2017 01:00,598052.928,468
04-14-2017 01:15,604848.984,467
04-14-2017 01:30,611645.04,466
04-14-2017 01:45,611645.04,465
04-14-2017 02:00,618441.096,463
04-14-2017 02:15,611645.04,461
04-14-2017 02:30,618441.096,459
04-14-2017 02:45,618441.096,458
04-14-2017 03:00,618441.096,455
04-14-2017 03:15,618441.096,453
04-14-2017 03:30,625237.152,451
04-14-2017 03:45,625237.152,448
04-14-2017 04:00,625237.152,445
04-14-2017 04:15,632033.208,442
04-14-2017 04:30,638829.264,440
04-14-2017 04:45,632033.208,436
04-14-2017 05:00,632033.208,434
04-14-2017 05:15,625237.152,432
04-14-2017 05:30,632033.208,430
04-14-2017 05:45,632033.208,429
04-14-2017 06:00,632033.208,429
04-14-2017 06:15,632033.208,429
04-14-2017 06:30,625237.152,428
04-14-2017 06:45,632033.208,429
04-14-2017 07:00,632033.208,428
04-14-2017 07:15,632033.208,428
04-14-2017 07:30,632033.208,429
04-14-2017 07:45,632033.208,430
04-14-2017 08:00,625237.152,430
04-14-2017 08:15,625237.152,429
04-14-2017 08:30,618441.096,428
04-14-2017 08:45,625237.152,427
04-14-2017 09:00,618441.096,425
04-14-2017 09:15,625237.152,424
04-14-2017 09:30,618441.096,424
04-14-2017 09:45,618441.096,424
04-14-2017 10:00,618441.096,424
04-14-2017 10:15,618441.096,423
04-14-2017 10:30,611645.04,423
04-14-2017 10:45,611645.04,422
04-14-2017 11:00,611645.04,423
04-14-2017 11:15,611645.04,424
04-14-2017 11:30,604848.984,424
04-14-2017 11:45,611645.04,424
04-14-2017 12:00,618441.096,424
04-14-2017 12:15,611645.04,424
04-14-2017 12:30,611645.04,425
04-14-2017 12:45,611645.04,425
04-14-2017 13:00,611645.04,426
04-14-2017 13:15,604848.984,426
04-14-2017 13:30,604848.984,426
04-14-2017 13:45,611645.04,427
04-14-2017 14:00,604848.984,428
04-14-2017 14:15,598052.928,430
04-14-2017 14:30,598052.928,431
04-14-2017 14:45,598052.928,433
04-14-2017 15:00,598052.928,435
04-14-2017 15:15,598052.928,437
04-14-2017 15:30,598052.928,439
04-14-2017 15:45,598052.928,440
04-14-2017 16:00,591256.872,441
04-14-2017 16:15,591256.872,441
04-14-2017 16:30,591256.872,442
04-14-2017 16:45,591256.872,441
04-14-2017 17:00,598052.928,441
04-14-2017 17:15,591256.872,441
04-14-2017 17:30,591256.872,440
04-14-2017 17:45,584460.816,440
04-14-2017 18:00,591256.872,439
04-14-2017 18:15,591256.872,439
04-14-2017 18:30,598052.928,437
04-14-2017 18:45,591256.872,437
04-14-2017 19:00,591256.872,436
04-14-2017 19:15,591256.872,435
04-14-2017 19:30,591256.872,434
04-14-2017 19:45,591256.872,434
04-14-2017 20:00,591256.872,434
04-14-2017 20:15,584460.816,435
04-14-2017 20:30,591256.872,435
04-14-2017 20:45,591256.872,435
04-14-2017 21:00,584460.816,436
04-14-2017 21:15,584460.816,436
04-14-2017 21:30,579363.774,438
04-14-2017 21:45,584460.816,436
04-14-2017 22:00,579363.774,437
04-14-2017 22:15,579363.774,437
04-14-2017 22:30,572567.718,437
04-14-2017 22:45,579363.774,437
04-14-2017 23:00,579363.774,436
04-14-2017 23:15,584460.816,436
04-14-2017 23:30,579363.774,437
04-14-2017 23:45,572567.718,438
04-15-2017 00:00,572567.718,440
04-15-2017 00:15,572567.718,442
04-15-2017 00:30,572567.718,443
04-15-2017 00:45,565771.662,445
04-15-2017 01:00,565771.662,447
04-15-2017 01:15,565771.662,447
04-15-2017 01:30,558975.606,449
04-15-2017 01:45,565771.662,450
04-15-2017 02:00,558975.606,449
04-15-2017 02:15,553878.564,449
04-15-2017 02:30,558975.606,448
04-15-2017 02:45,558975.606,448
04-15-2017 03:00,547082.508,447
04-15-2017 03:15,553878.564,447
04-15-2017 03:30,553878.564,447
04-15-2017 03:45,547082.508,446
04-15-2017 04:00,547082.508,445
04-15-2017 04:15,541985.466,445
04-15-2017 04:30,547082.508,445
