2015,Date Time (MDT),Discharge(l/min),SC (microSiemens/cm),,2016,Date Time (MDT),Discharge(l/min),SC (microSiemens/cm)
,10-01-2015 00:00,366987,554,,,10-01-2016 00:00,344899.8,587
,10-01-2015 00:15,366987,554,,,10-01-2016 00:15,344899.8,587
,10-01-2015 00:30,366987,554,,,10-01-2016 00:30,344899.8,587
,10-01-2015 00:45,366987,554,,,10-01-2016 00:45,344899.8,588
,10-01-2015 01:00,366987,554,,,10-01-2016 01:00,348297.9,588
,10-01-2015 01:15,366987,555,,,10-01-2016 01:15,344899.8,588
,10-01-2015 01:30,366987,556,,,10-01-2016 01:30,344899.8,589
,10-01-2015 01:45,366987,556,,,10-01-2016 01:45,344899.8,589
,10-01-2015 02:00,366987,556,,,10-01-2016 02:00,344899.8,590
,10-01-2015 02:15,366987,556,,,10-01-2016 02:15,344899.8,591
,10-01-2015 02:30,366987,556,,,10-01-2016 02:30,348297.9,591
,10-01-2015 02:45,366987,556,,,10-01-2016 02:45,344899.8,592
,10-01-2015 03:00,366987,556,,,10-01-2016 03:00,348297.9,593
,10-01-2015 03:15,366987,556,,,10-01-2016 03:15,348297.9,593
,10-01-2015 03:30,366987,555,,,10-01-2016 03:30,344899.8,594
,10-01-2015 03:45,366987,555,,,10-01-2016 03:45,348297.9,595
,10-01-2015 04:00,366987,555,,,10-01-2016 04:00,348297.9,595
,10-01-2015 04:15,366987,554,,,10-01-2016 04:15,348297.9,596
,10-01-2015 04:30,372084.1,553,,,10-01-2016 04:30,348297.9,596
,10-01-2015 04:45,372084.1,553,,,10-01-2016 04:45,348297.9,597
,10-01-2015 05:00,372084.1,552,,,10-01-2016 05:00,348297.9,597
,10-01-2015 05:15,372084.1,552,,,10-01-2016 05:15,348297.9,598
,10-01-2015 05:30,372084.1,551,,,10-01-2016 05:30,348297.9,598
,10-01-2015 05:45,366987,551,,,10-01-2016 05:45,348297.9,598
,10-01-2015 06:00,366987,551,,,10-01-2016 06:00,348297.9,598
,10-01-2015 06:15,372084.1,552,,,10-01-2016 06:15,348297.9,597
,10-01-2015 06:30,372084.1,552,,,10-01-2016 06:30,348297.9,597
,10-01-2015 06:45,372084.1,552,,,10-01-2016 06:45,348297.9,596
,10-01-2015 07:00,372084.1,552,,,10-01-2016 07:00,348297.9,596
,10-01-2015 07:15,372084.1,552,,,10-01-2016 07:15,348297.9,595
,10-01-2015 07:30,372084.1,552,,,10-01-2016 07:30,348297.9,594
,10-01-2015 07:45,372084.1,551,,,10-01-2016 07:45,348297.9,594
,10-01-2015 08:00,372084.1,550,,,10-01-2016 08:00,348297.9,593
,10-01-2015 08:15,372084.1,550,,,10-01-2016 08:15,348297.9,592
,10-01-2015 08:30,372084.1,549,,,10-01-2016 08:30,348297.9,591
,10-01-2015 08:45,372084.1,548,,,10-01-2016 08:45,348297.9,590
,10-01-2015 09:00,375482.1,548,,,10-01-2016 09:00,348297.9,590
,10-01-2015 09:15,372084.1,547,,,10-01-2016 09:15,348297.9,589
,10-01-2015 09:30,372084.1,547,,,10-01-2016 09:30,353394.9,589
,10-01-2015 09:45,375482.1,547,,,10-01-2016 09:45,353394.9,589
,10-01-2015 10:00,372084.1,548,,,10-01-2016 10:00,353394.9,589
,10-01-2015 10:15,375482.1,548,,,10-01-2016 10:15,353394.9,589
,10-01-2015 10:30,372084.1,549,,,10-01-2016 10:30,348297.9,588
,10-01-2015 10:45,372084.1,549,,,10-01-2016 10:45,348297.9,589
,10-01-2015 11:00,372084.1,550,,,10-01-2016 11:00,353394.9,588
,10-01-2015 11:15,372084.1,550,,,10-01-2016 11:15,348297.9,588
,10-01-2015 11:30,372084.1,550,,,10-01-2016 11:30,353394.9,588
,10-01-2015 11:45,372084.1,550,,,10-01-2016 11:45,353394.9,588
,10-01-2015 12:00,375482.1,550,,,10-01-2016 12:00,353394.9,588
,10-01-2015 12:15,375482.1,549,,,10-01-2016 12:15,358492,589
,10-01-2015 12:30,375482.1,549,,,10-01-2016 12:30,353394.9,590
,10-01-2015 12:45,375482.1,549,,,10-01-2016 12:45,358492,591
,10-01-2015 13:00,375482.1,549,,,10-01-2016 13:00,353394.9,592
,10-01-2015 13:15,375482.1,548,,,10-01-2016 13:15,353394.9,593
,10-01-2015 13:30,375482.1,548,,,10-01-2016 13:30,358492,592
,10-01-2015 13:45,375482.1,548,,,10-01-2016 13:45,353394.9,592
,10-01-2015 14:00,380579.1,548,,,10-01-2016 14:00,358492,591
,10-01-2015 14:15,375482.1,547,,,10-01-2016 14:15,353394.9,590
,10-01-2015 14:30,375482.1,547,,,10-01-2016 14:30,358492,589
,10-01-2015 14:45,375482.1,547,,,10-01-2016 14:45,358492,589
,10-01-2015 15:00,375482.1,546,,,10-01-2016 15:00,358492,589
,10-01-2015 15:15,375482.1,546,,,10-01-2016 15:15,358492,589
,10-01-2015 15:30,375482.1,546,,,10-01-2016 15:30,361890,589
,10-01-2015 15:45,375482.1,546,,,10-01-2016 15:45,361890,589
,10-01-2015 16:00,375482.1,546,,,10-01-2016 16:00,361890,590
,10-01-2015 16:15,375482.1,546,,,10-01-2016 16:15,366987,590
,10-01-2015 16:30,375482.1,546,,,10-01-2016 16:30,366987,590
,10-01-2015 16:45,375482.1,547,,,10-01-2016 16:45,366987,591
,10-01-2015 17:00,375482.1,547,,,10-01-2016 17:00,366987,592
,10-01-2015 17:15,372084.1,547,,,10-01-2016 17:15,361890,593
,10-01-2015 17:30,372084.1,548,,,10-01-2016 17:30,361890,594
,10-01-2015 17:45,372084.1,548,,,10-01-2016 17:45,361890,595
,10-01-2015 18:00,372084.1,548,,,10-01-2016 18:00,366987,593
,10-01-2015 18:15,372084.1,547,,,10-01-2016 18:15,366987,594
,10-01-2015 18:30,372084.1,547,,,10-01-2016 18:30,372084.1,593
,10-01-2015 18:45,372084.1,546,,,10-01-2016 18:45,375482.1,594
,10-01-2015 19:00,372084.1,546,,,10-01-2016 19:00,372084.1,593
,10-01-2015 19:15,372084.1,546,,,10-01-2016 19:15,375482.1,592
,10-01-2015 19:30,372084.1,546,,,10-01-2016 19:30,375482.1,591
,10-01-2015 19:45,372084.1,545,,,10-01-2016 19:45,385676.2,590
,10-01-2015 20:00,375482.1,545,,,10-01-2016 20:00,380579.1,589
,10-01-2015 20:15,375482.1,545,,,10-01-2016 20:15,385676.2,587
,10-01-2015 20:30,375482.1,545,,,10-01-2016 20:30,390773.2,585
,10-01-2015 20:45,375482.1,546,,,10-01-2016 20:45,394171.2,583
,10-01-2015 21:00,375482.1,547,,,10-01-2016 21:00,394171.2,582
,10-01-2015 21:15,375482.1,549,,,10-01-2016 21:15,399268.3,580
,10-01-2015 21:30,372084.1,550,,,10-01-2016 21:30,399268.3,578
,10-01-2015 21:45,372084.1,552,,,10-01-2016 21:45,404365.3,577
,10-01-2015 22:00,372084.1,554,,,10-01-2016 22:00,409462.4,574
,10-01-2015 22:15,372084.1,555,,,10-01-2016 22:15,414559.4,575
,10-01-2015 22:30,372084.1,557,,,10-01-2016 22:30,414559.4,574
,10-01-2015 22:45,375482.1,558,,,10-01-2016 22:45,414559.4,575
,10-01-2015 23:00,372084.1,559,,,10-01-2016 23:00,414559.4,576
,10-01-2015 23:15,372084.1,559,,,10-01-2016 23:15,414559.4,578
,10-01-2015 23:30,372084.1,559,,,10-01-2016 23:30,414559.4,581
,10-01-2015 23:45,372084.1,558,,,10-01-2016 23:45,414559.4,584
,10-02-2015 00:00,375482.1,557,,,10-02-2016 00:00,414559.4,587
,10-02-2015 00:15,375482.1,556,,,10-02-2016 00:15,414559.4,590
,10-02-2015 00:30,375482.1,555,,,10-02-2016 00:30,414559.4,594
,10-02-2015 00:45,375482.1,554,,,10-02-2016 00:45,414559.4,597
,10-02-2015 01:00,375482.1,553,,,10-02-2016 01:00,419656.5,600
,10-02-2015 01:15,380579.1,552,,,10-02-2016 01:15,419656.5,602
,10-02-2015 01:30,380579.1,551,,,10-02-2016 01:30,419656.5,601
,10-02-2015 01:45,380579.1,550,,,10-02-2016 01:45,419656.5,603
,10-02-2015 02:00,380579.1,549,,,10-02-2016 02:00,419656.5,604
,10-02-2015 02:15,380579.1,548,,,10-02-2016 02:15,419656.5,595
,10-02-2015 02:30,380579.1,547,,,10-02-2016 02:30,424753.5,607
,10-02-2015 02:45,380579.1,546,,,10-02-2016 02:45,424753.5,607
,10-02-2015 03:00,380579.1,546,,,10-02-2016 03:00,424753.5,600
,10-02-2015 03:15,380579.1,545,,,10-02-2016 03:15,424753.5,607
,10-02-2015 03:30,385676.2,544,,,10-02-2016 03:30,424753.5,607
,10-02-2015 03:45,385676.2,543,,,10-02-2016 03:45,424753.5,601
,10-02-2015 04:00,385676.2,543,,,10-02-2016 04:00,419656.5,603
,10-02-2015 04:15,385676.2,542,,,10-02-2016 04:15,419656.5,602
,10-02-2015 04:30,385676.2,542,,,10-02-2016 04:30,424753.5,602
,10-02-2015 04:45,390773.2,541,,,10-02-2016 04:45,419656.5,600
,10-02-2015 05:00,394171.2,542,,,10-02-2016 05:00,419656.5,599
,10-02-2015 05:15,394171.2,542,,,10-02-2016 05:15,419656.5,602
