DateTime (MDT),Load Average (g/min)
10-01 00:00,5799.232907
10-01 00:15,5792.622491
10-01 00:30,5772.082329
10-01 00:45,5780.983563
10-01 01:00,5783.548349
10-01 01:15,5757.789475
10-01 01:30,5760.631049
10-01 01:45,5794.054429
10-01 02:00,5791.212855
10-01 02:15,5782.050746
10-01 02:30,5758.856658
10-01 02:45,5769.254157
10-01 03:00,5779.487783
10-01 03:15,5774.945038
10-01 03:30,5797.796894
10-01 03:45,5790.339223
10-01 04:00,5787.768969
10-01 04:15,5787.763374
10-01 04:30,5790.335451
10-01 04:45,5787.763374
10-01 05:00,5782.624688
10-01 05:15,5763.957891
10-01 05:30,5779.45033
10-01 05:45,5799.102622
10-01 06:00,5804.347644
10-01 06:15,5801.724201
10-01 06:30,5792.705779
10-01 06:45,5769.456804
10-01 07:00,5769.456804
10-01 07:15,5779.939389
10-01 07:30,5778.437571
10-01 07:45,5796.443389
10-01 08:00,5793.819946
10-01 08:15,5793.819946
10-01 08:30,5793.819946
10-01 08:45,5778.437571
10-01 09:00,5770.014463
10-01 09:15,5772.637906
10-01 09:30,5790.645588
10-01 09:45,5767.392884
10-01 10:00,5754.043351
10-01 10:15,5766.832113
10-01 10:30,5760.5805
10-01 10:45,5744.954521
10-01 11:00,5739.286625
10-01 11:15,5736.67064
10-01 11:30,5750.409588
10-01 11:45,5744.737333
10-01 12:00,5707.730869
10-01 12:15,5725.629126
10-01 12:30,5733.684634
10-01 12:45,5757.377379
10-01 13:00,5751.722556
10-01 13:15,5751.869519
10-01 13:30,5778.159824
10-01 13:45,5759.099774
10-01 14:00,5759.255453
10-01 14:15,5753.902476
10-01 14:30,5745.560962
10-01 14:45,5745.560962
10-01 15:00,5751.228858
10-01 15:15,5772.096699
10-01 15:30,5770.811148
10-01 15:45,5767.97611
10-01 16:00,5754.467917
10-01 16:15,5732.681304
10-01 16:30,5744.36487
10-01 16:45,5739.065476
10-01 17:00,5717.769185
10-01 17:15,5699.171084
10-01 17:30,5704.703856
