Date-Time(MDT),Average Load
09-23 00:00,39986.10043
09-23 00:15,39861.81712
09-23 00:30,39880.5381
09-23 00:45,39894.67014
09-23 01:00,39961.02167
09-23 01:15,39838.67269
09-23 01:30,39812.98859
09-23 01:45,39990.57234
09-23 02:00,39795.05562
09-23 02:15,39840.04432
09-23 02:30,39803.18519
09-23 02:45,40045.3104
09-23 03:00,39861.98715
09-23 03:15,39746.72833
09-23 03:30,39791.18138
09-23 03:45,39766.35052
09-23 04:00,39525.33404
09-23 04:15,39441.80881
09-23 04:30,39501.88977
09-23 04:45,39632.31615
09-23 05:00,39629.41328
09-23 05:15,39608.68303
09-23 05:30,39669.36058
09-23 05:45,39622.63624
09-23 06:00,39619.15006
09-23 06:15,39680.26786
09-23 06:30,39607.87107
09-23 06:45,39646.55078
09-23 07:00,39966.23199
09-23 07:15,39996.42912
09-23 07:30,39980.84141
09-23 07:45,39995.13497
09-23 08:00,40011.63679
09-23 08:15,40119.79633
09-23 08:30,40159.68535
09-23 08:45,40295.04628
09-23 09:00,40196.02219
09-23 09:15,40337.40746
09-23 09:30,40296.51439
09-23 09:45,40358.35813
09-23 10:00,40388.80726
09-23 10:15,40392.07967
09-23 10:30,40565.64757
09-23 10:45,40774.22522
09-23 11:00,40641.59687
09-23 11:15,40569.9846
09-23 11:30,40897.43224
09-23 11:45,40913.73786
09-23 12:00,40928.93693
09-23 12:15,41220.40549
09-23 12:30,41208.9876
09-23 12:45,41285.20699
09-23 13:00,41403.86953
09-23 13:15,41503.83715
09-23 13:30,41393.21261
09-23 13:45,41150.2332
09-23 14:00,41300.63079
09-23 14:15,41310.20815
09-23 14:30,41207.10243
09-23 14:45,41178.88839
09-23 15:00,41408.26981
09-23 15:15,41226.72236
09-23 15:30,41072.31617
09-23 15:45,41270.96914
09-23 16:00,41202.40946
09-23 16:15,41262.74403
09-23 16:30,41133.44504
09-23 16:45,41029.38714
09-23 17:00,41100.28214
09-23 17:15,41210.08156
09-23 17:30,41301.49012
09-23 17:45,41308.76978
09-23 18:00,41100.26338
09-23 18:15,41090.82978
09-23 18:30,41392.26416
09-23 18:45,41200.81064
09-23 19:00,41256.85232
09-23 19:15,41236.56397
09-23 19:30,41004.69985
09-23 19:45,41021.14019
09-23 20:00,41128.19447
09-23 20:15,40891.66019
09-23 20:30,41010.08216
09-23 20:45,41059.69752
09-23 21:00,40907.65774
09-23 21:15,40907.51466
09-23 21:30,41010.77336
09-23 21:45,40848.1677
09-23 22:00,41015.67526
09-23 22:15,40887.33943
09-23 22:30,40878.52781
09-23 22:45,40854.51589
09-23 23:00,40830.72402
09-23 23:15,40589.67255
09-23 23:30,40745.94023
09-23 23:45,40678.80998
09-24 00:00,40476.17712
09-24 00:15,40567.93203
09-24 00:30,40387.33627
09-24 00:45,40281.50271
09-24 01:00,40093.49187
09-24 01:15,40198.21118
09-24 01:30,40197.26583
09-24 01:45,40052.69473
09-24 02:00,39899.99261
09-24 02:15,39993.53227
09-24 02:30,39959.62163
09-24 02:45,39812.463
09-24 03:00,39744.46603
09-24 03:15,39754.12153
09-24 03:30,39589.76679
09-24 03:45,39587.96851
09-24 04:00,39562.44187
09-24 04:15,39634.88378
09-24 04:30,39623.39782
09-24 04:45,39496.96885
09-24 05:00,39400.67297
09-24 05:15,39354.60623
09-24 05:30,39437.83755
09-24 05:45,39391.07663
09-24 06:00,39130.49828
09-24 06:15,39352.9291
09-24 06:30,39188.23553
09-24 06:45,39251.73916
09-24 07:00,39183.23708
09-24 07:15,39080.0414
09-24 07:30,39073.88855
09-24 07:45,39028.89319
09-24 08:00,39064.35923
09-24 08:15,39003.8082
09-24 08:30,39221.98847
09-24 08:45,39014.34694
09-24 09:00,39199.55362
09-24 09:15,39085.02066
09-24 09:30,38978.85021
09-24 09:45,39087.19806
09-24 10:00,39087.19806
09-24 10:15,39059.65244
09-24 10:30,39090.98366
09-24 10:45,39090.76402
09-24 11:00,38962.72616
09-24 11:15,39096.94686
09-24 11:30,39176.67654
09-24 11:45,39025.9892
09-24 12:00,39251.99428
09-24 12:15,39297.16844
09-24 12:30,39117.17783
09-24 12:45,39059.15278
09-24 13:00,38976.8661
09-24 13:15,39069.81717
09-24 13:30,39037.8436
09-24 13:45,38817.9373
09-24 14:00,38912.43407
09-24 14:15,38895.28651
09-24 14:30,38989.56379
09-24 14:45,38898.6313
09-24 15:00,39028.46881
09-24 15:15,38931.70996
09-24 15:30,38923.02289
09-24 15:45,38924.41123
09-24 16:00,39020.91765
09-24 16:15,39127.53078
09-24 16:30,38949.43328
09-24 16:45,39095.86551
09-24 17:00,39203.14126
09-24 17:15,39048.12697
09-24 17:30,39060.45706
09-24 17:45,38873.26239
09-24 18:00,39071.2803
09-24 18:15,38753.9018
09-24 18:30,38951.69863
09-24 18:45,39071.50096
09-24 19:00,39264.3973
09-24 19:15,39013.91602
09-24 19:30,39213.43912
09-24 19:45,39101.53478
09-24 20:00,39179.77195
09-24 20:15,38996.82266
09-24 20:30,39096.20927
09-24 20:45,39087.57342
09-24 21:00,39162.43594
09-24 21:15,39061.92227
09-24 21:30,38933.50594
09-24 21:45,38942.87661
09-24 22:00,38840.17565
09-24 22:15,38788.69675
09-24 22:30,38783.93143
09-24 22:45,38811.50928
09-24 23:00,38742.94925
09-24 23:15,38746.92485
09-24 23:30,38748.9758
09-24 23:45,38663.5658
09-25 00:00,38764.52127
09-25 00:15,38764.52127
09-25 00:30,38738.71183
09-25 00:45,38744.7788
09-25 01:00,38704.06612
09-25 01:15,38807.01004
09-25 01:30,38846.32517
09-25 01:45,38838.85442
09-25 02:00,38721.70376
09-25 02:15,38653.04985
09-25 02:30,38769.63328
09-25 02:45,38756.18256
09-25 03:00,38895.57877
09-25 03:15,38906.36877
09-25 03:30,38881.2852
09-25 03:45,39200.94634
09-25 04:00,38892.76063
09-25 04:15,38984.66029
09-25 04:30,38973.64887
09-25 04:45,38984.31369
09-25 05:00,39075.97064
09-25 05:15,39088.77136
09-25 05:30,39273.59905
09-25 05:45,39155.75352
09-25 06:00,39029.51352
09-25 06:15,39156.63701
09-25 06:30,39190.77113
09-25 06:45,38968.30088
09-25 07:00,39076.67991
09-25 07:15,38998.24439
09-25 07:30,39102.17632
09-25 07:45,39158.11407
09-25 08:00,39013.60672
09-25 08:15,39090.907
09-25 08:30,39145.4266
09-25 08:45,39115.26022
09-25 09:00,39077.70117
09-25 09:15,39177.24753
09-25 09:30,39072.84337
09-25 09:45,39074.07407
09-25 10:00,39088.87249
09-25 10:15,39236.53515
09-25 10:30,39293.00638
09-25 10:45,39242.44151
09-25 11:00,39537.15869
09-25 11:15,39515.30681
09-25 11:30,39492.12119
09-25 11:45,39829.15097
09-25 12:00,39662.85601
09-25 12:15,39941.73439
09-25 12:30,39931.57987
09-25 12:45,39990.61562
09-25 13:00,40134.89346
09-25 13:15,39951.51377
09-25 13:30,39953.72249
09-25 13:45,39971.80243
09-25 14:00,39953.55501
