2011,DateTime (MDT),Discharge (l/min),SC (microSiemens/cm),,2017,DateTime (MDT),Discharge (l/min),SC (microSiemens/cm),,2018,DateTime (MDT),Discharge (l/min),SC (microSiemens/cm)
,10/1/2010 0:00,66092,109.4,,,10/1/2016 0:00,60994,131,,,10/1/2017 0:00,149513,109
,10/1/2010 0:15,66092,109.1,,,10/1/2016 0:15,60994,132,,,10/1/2017 0:15,152231,111
,10/1/2010 0:30,66092,109.2,,,10/1/2016 0:30,60994,133,,,10/1/2017 0:30,152231,112
,10/1/2010 0:45,66092,109.4,,,10/1/2016 0:45,60994,132,,,10/1/2017 0:45,152231,110
,10/1/2010 1:00,66092,109.6,,,10/1/2016 1:00,60994,130,,,10/1/2017 1:00,155120,108
,10/1/2010 1:15,66092,110.1,,,10/1/2016 1:15,60994,129,,,10/1/2017 1:15,155120,91
,10/1/2010 1:30,66092,110.7,,,10/1/2016 1:30,60994,128,,,10/1/2017 1:30,155120,111
,10/1/2010 1:45,67791,112,,,10/1/2016 1:45,60994,128,,,10/1/2017 1:45,152231,90
,10/1/2010 2:00,66092,112.2,,,10/1/2016 2:00,60994,128,,,10/1/2017 2:00,155120,91
,10/1/2010 2:15,66092,111.6,,,10/1/2016 2:15,60994,128,,,10/1/2017 2:15,155120,91
,10/1/2010 2:30,66092,110.5,,,10/1/2016 2:30,60994,129,,,10/1/2017 2:30,152231,92
,10/1/2010 2:45,66092,109.6,,,10/1/2016 2:45,60994,130,,,10/1/2017 2:45,152231,93
,10/1/2010 3:00,66092,109.3,,,10/1/2016 3:00,60994,132,,,10/1/2017 3:00,152231,93
,10/1/2010 3:15,66092,109.1,,,10/1/2016 3:15,60994,133,,,10/1/2017 3:15,155120,112
,10/1/2010 3:30,66092,109.1,,,10/1/2016 3:30,60994,132,,,10/1/2017 3:30,152231,115
,10/1/2010 3:45,66092,109.5,,,10/1/2016 3:45,60994,131,,,10/1/2017 3:45,155120,110
,10/1/2010 4:00,66092,110,,,10/1/2016 4:00,60994,130,,,10/1/2017 4:00,152231,111
,10/1/2010 4:15,66092,110.6,,,10/1/2016 4:15,60994,129,,,10/1/2017 4:15,152231,111
,10/1/2010 4:30,66092,112,,,10/1/2016 4:30,60994,128,,,10/1/2017 4:30,152231,109
,10/1/2010 4:45,66092,112.5,,,10/1/2016 4:45,60994,128,,,10/1/2017 4:45,149513,109
,10/1/2010 5:00,66092,111.9,,,10/1/2016 5:00,60994,129,,,10/1/2017 5:00,149513,110
,10/1/2010 5:15,66092,110.9,,,10/1/2016 5:15,60994,129,,,10/1/2017 5:15,146625,110
,10/1/2010 5:30,67791,110.2,,,10/1/2016 5:30,60994,130,,,10/1/2017 5:30,149513,111
,10/1/2010 5:45,66092,109.5,,,10/1/2016 5:45,60994,132,,,10/1/2017 5:45,146625,112
,10/1/2010 6:00,66092,109.1,,,10/1/2016 6:00,60994,133,,,10/1/2017 6:00,146625,112
,10/1/2010 6:15,66092,109.3,,,10/1/2016 6:15,60994,133,,,10/1/2017 6:15,146625,113
,10/1/2010 6:30,66092,109.4,,,10/1/2016 6:30,60994,132,,,10/1/2017 6:30,146625,112
,10/1/2010 6:45,66092,110,,,10/1/2016 6:45,60994,131,,,10/1/2017 6:45,146625,111
,10/1/2010 7:00,66092,110.4,,,10/1/2016 7:00,60994,130,,,10/1/2017 7:00,146625,111
,10/1/2010 7:15,66092,110.8,,,10/1/2016 7:15,60994,129,,,10/1/2017 7:15,143906,111
,10/1/2010 7:30,66092,110.8,,,10/1/2016 7:30,60994,129,,,10/1/2017 7:30,143906,111
,10/1/2010 7:45,67791,111.3,,,10/1/2016 7:45,60994,129,,,10/1/2017 7:45,143906,111
,10/1/2010 8:00,67791,111.1,,,10/1/2016 8:00,60994,130,,,10/1/2017 8:00,141188,112
,10/1/2010 8:15,67791,110.6,,,10/1/2016 8:15,60994,130,,,10/1/2017 8:15,138469,112
,10/1/2010 8:30,66092,109.7,,,10/1/2016 8:30,60994,132,,,10/1/2017 8:30,141188,112
,10/1/2010 8:45,66092,109.3,,,10/1/2016 8:45,60994,133,,,10/1/2017 8:45,141188,114
,10/1/2010 9:00,64562,109,,,10/1/2016 9:00,60994,134,,,10/1/2017 9:00,138469,114
,10/1/2010 9:15,66092,108.8,,,10/1/2016 9:15,59295,133,,,10/1/2017 9:15,138469,114
,10/1/2010 9:30,66092,108.4,,,10/1/2016 9:30,60994,131,,,10/1/2017 9:30,138469,112
,10/1/2010 9:45,66092,108.8,,,10/1/2016 9:45,60994,130,,,10/1/2017 9:45,135751,111
,10/1/2010 10:00,64562,109.2,,,10/1/2016 10:00,60994,129,,,10/1/2017 10:00,135751,111
,10/1/2010 10:15,64562,109.6,,,10/1/2016 10:15,60994,129,,,10/1/2017 10:15,135751,111
,10/1/2010 10:30,64562,110.1,,,10/1/2016 10:30,60994,129,,,10/1/2017 10:30,135751,112
,10/1/2010 10:45,66092,110.4,,,10/1/2016 10:45,60994,129,,,10/1/2017 10:45,135751,112
,10/1/2010 11:00,64562,111.1,,,10/1/2016 11:00,60994,129,,,10/1/2017 11:00,133202,110
,10/1/2010 11:15,64562,111.6,,,10/1/2016 11:15,62863,129,,,10/1/2017 11:15,133202,112
,10/1/2010 11:30,66092,111.8,,,10/1/2016 11:30,62863,130,,,10/1/2017 11:30,133202,113
,10/1/2010 11:45,66092,110.8,,,10/1/2016 11:45,62863,132,,,10/1/2017 11:45,133202,114
,10/1/2010 12:00,66092,110.2,,,10/1/2016 12:00,62863,133,,,10/1/2017 12:00,130484,115
,10/1/2010 12:15,66092,109.4,,,10/1/2016 12:15,62863,132,,,10/1/2017 12:15,130484,115
,10/1/2010 12:30,64562,109,,,10/1/2016 12:30,60994,131,,,10/1/2017 12:30,130484,114
,10/1/2010 12:45,64562,109,,,10/1/2016 12:45,62863,129,,,10/1/2017 12:45,130484,113
,10/1/2010 13:00,66092,108.9,,,10/1/2016 13:00,62863,128,,,10/1/2017 13:00,133202,112
,10/1/2010 13:15,66092,109.1,,,10/1/2016 13:15,62863,128,,,10/1/2017 13:15,130484,111
