Date Time (MDT),Avg Load (g/min)
09-29 00:00,9237.726
09-29 00:15,9082.846333
09-29 00:30,9164.848
09-29 00:45,9159.909667
09-29 01:00,9043.700667
09-29 01:15,9107.469333
09-29 01:30,9127.934667
09-29 01:45,9128.869667
09-29 02:00,9068.714667
09-29 02:15,9066.845
09-29 02:30,8946.841667
09-29 02:45,9182.217
09-29 03:00,9038.915667
09-29 03:15,8971.897
09-29 03:30,9128.702333
09-29 03:45,9008.531333
09-29 04:00,9089.013
09-29 04:15,9005.448667
09-29 04:30,9124.517
09-29 04:45,9059.981667
09-29 05:00,9056.898667
09-29 05:15,9058.168333
09-29 05:30,8940.913
09-29 05:45,9137.547333
09-29 06:00,8948.613333
09-29 06:15,9017.209333
09-29 06:30,9022.831333
09-29 06:45,9021.561667
09-29 07:00,8915.634
09-29 07:15,8927.087667
09-29 07:30,9009.006
09-29 07:45,8920.321667
09-29 08:00,8968.047
09-29 08:15,9015.018333
09-29 08:30,8965.968333
09-29 08:45,8947.385667
09-29 09:00,8991.763
09-29 09:15,9031.452333
09-29 09:30,8837.454
09-29 09:45,8904.473667
09-29 10:00,8939.266333
09-29 10:15,9029.555
09-29 10:30,8934.579
09-29 10:45,9011.809667
09-29 11:00,8901.516
09-29 11:15,8985.303333
09-29 11:30,8907.682
09-29 11:45,8867.518
09-29 12:00,9038.050667
09-29 12:15,8999.882
09-29 12:30,8978.063
09-29 12:45,8908.31
09-29 13:00,8970.669
09-29 13:15,9008.419667
09-29 13:30,8881.901333
09-29 13:45,8946.953333
09-29 14:00,8990.618667
09-29 14:15,8994.078667
09-29 14:30,8977.449
09-29 14:45,9067.221667
09-29 15:00,8924.227
09-29 15:15,8871.982
09-29 15:30,8916.121667
09-29 15:45,8992.781333
09-29 16:00,9036.069667
09-29 16:15,8868.83
09-29 16:30,8935.541333
09-29 16:45,8980.686
09-29 17:00,8885.333333
09-29 17:15,9097.397
09-29 17:30,8968.130333
09-29 17:45,9017.446
09-29 18:00,9270.873333
09-29 18:15,9159.184667
09-29 18:30,9044.537667
09-29 18:45,9126.930667
09-29 19:00,9076.791667
09-29 19:15,9166.16
09-29 19:30,9193.559
09-29 19:45,9191.745667
09-29 20:00,9208.737
09-29 20:15,9195.679
09-29 20:30,9195.679
09-29 20:45,9110.077667
09-29 21:00,9225.714667
09-29 21:15,9298.327667
09-29 21:30,9149.823
09-29 21:45,9398.800333
09-29 22:00,9287.906667
09-29 22:15,9284.488667
09-29 22:30,9305.233667
09-29 22:45,9354.395667
