DateTime (MDT),Discharge (L/min),SC (microSiemens/cm)
09-28-2012 08:00,509704.2,285
09-28-2012 08:15,523296.312,285
09-28-2012 08:30,509704.2,285
09-28-2012 08:45,509704.2,285
09-28-2012 09:00,516500.256,285
09-28-2012 09:15,509704.2,285
09-28-2012 09:30,516500.256,285
09-28-2012 09:45,509704.2,285
09-28-2012 10:00,497811.102,285
09-28-2012 10:15,509704.2,285
09-28-2012 10:30,509704.2,285
09-28-2012 10:45,502908.144,285
09-28-2012 11:00,523296.312,285
09-28-2012 11:15,523296.312,285
09-28-2012 11:30,523296.312,285
09-28-2012 11:45,516500.256,287
09-28-2012 12:00,509704.2,287
09-28-2012 12:15,523296.312,285
09-28-2012 12:30,523296.312,285
09-28-2012 12:45,516500.256,285
09-28-2012 13:00,502908.144,285
09-28-2012 13:15,516500.256,284
09-28-2012 13:30,523296.312,284
09-28-2012 13:45,509704.2,284
09-28-2012 14:00,509704.2,283
09-28-2012 14:15,502908.144,284
09-28-2012 14:30,491015.046,284
09-28-2012 14:45,509704.2,283
09-28-2012 15:00,502908.144,284
09-28-2012 15:15,509704.2,284
09-28-2012 15:30,502908.144,284
09-28-2012 15:45,509704.2,284
09-28-2012 16:00,516500.256,284
09-28-2012 16:15,523296.312,284
09-28-2012 16:30,516500.256,284
09-28-2012 16:45,516500.256,284
09-28-2012 17:00,502908.144,284
09-28-2012 17:15,509704.2,284
09-28-2012 17:30,516500.256,284
09-28-2012 17:45,516500.256,284
09-28-2012 18:00,502908.144,284
09-28-2012 18:15,502908.144,284
09-28-2012 18:30,523296.312,284
09-28-2012 18:45,509704.2,284
09-28-2012 19:00,509704.2,284
09-28-2012 19:15,516500.256,284
09-28-2012 19:30,497811.102,284
09-28-2012 19:45,516500.256,285
09-28-2012 20:00,516500.256,284
09-28-2012 20:15,516500.256,284
09-28-2012 20:30,509704.2,284
09-28-2012 20:45,502908.144,284
09-28-2012 21:00,497811.102,285
09-28-2012 21:15,502908.144,284
09-28-2012 21:30,516500.256,285
09-28-2012 21:45,509704.2,285
09-28-2012 22:00,516500.256,285
09-28-2012 22:15,509704.2,285
09-28-2012 22:30,502908.144,286
09-28-2012 22:45,502908.144,286
09-28-2012 23:00,516500.256,285
09-28-2012 23:15,502908.144,286
09-28-2012 23:30,523296.312,286
09-28-2012 23:45,516500.256,286
09-29-2012 00:00,523296.312,286
09-29-2012 00:15,516500.256,286
09-29-2012 00:30,509704.2,286
09-29-2012 00:45,523296.312,286
09-29-2012 01:00,491015.046,286
09-29-2012 01:15,502908.144,286
09-29-2012 01:30,516500.256,285
09-29-2012 01:45,516500.256,285
09-29-2012 02:00,502908.144,286
09-29-2012 02:15,502908.144,286
09-29-2012 02:30,502908.144,286
09-29-2012 02:45,516500.256,286
09-29-2012 03:00,502908.144,286
09-29-2012 03:15,497811.102,286
09-29-2012 03:30,509704.2,287
09-29-2012 03:45,509704.2,287
09-29-2012 04:00,509704.2,287
09-29-2012 04:15,516500.256,287
09-29-2012 04:30,516500.256,287
09-29-2012 04:45,509704.2,287
09-29-2012 05:00,516500.256,287
09-29-2012 05:15,516500.256,287
09-29-2012 05:30,509704.2,287
09-29-2012 05:45,516500.256,287
09-29-2012 06:00,509704.2,287
09-29-2012 06:15,516500.256,287
09-29-2012 06:30,509704.2,287
09-29-2012 06:45,509704.2,287
09-29-2012 07:00,523296.312,285
09-29-2012 07:15,509704.2,286
09-29-2012 07:30,509704.2,286
09-29-2012 07:45,516500.256,285
09-29-2012 08:00,509704.2,286
09-29-2012 08:15,516500.256,285
09-29-2012 08:30,509704.2,285
09-29-2012 08:45,523296.312,285
09-29-2012 09:00,516500.256,285
09-29-2012 09:15,516500.256,285
09-29-2012 09:30,516500.256,283
09-29-2012 09:45,516500.256,285
09-29-2012 10:00,509704.2,285
09-29-2012 10:15,530092.368,286
09-29-2012 10:30,516500.256,285
09-29-2012 10:45,523296.312,285
09-29-2012 11:00,502908.144,285
09-29-2012 11:15,516500.256,286
09-29-2012 11:30,509704.2,285
09-29-2012 11:45,509704.2,286
09-29-2012 12:00,523296.312,285
09-29-2012 12:15,523296.312,285
09-29-2012 12:30,509704.2,286
09-29-2012 12:45,509704.2,286
09-29-2012 13:00,523296.312,286
09-29-2012 13:15,530092.368,286
09-29-2012 13:30,523296.312,287
09-29-2012 13:45,516500.256,287
09-29-2012 14:00,509704.2,287
09-29-2012 14:15,523296.312,287
09-29-2012 14:30,523296.312,287
09-29-2012 14:45,516500.256,286
09-29-2012 15:00,523296.312,282
09-29-2012 15:15,516500.256,283
09-29-2012 15:30,516500.256,284
09-29-2012 15:45,509704.2,286
09-29-2012 16:00,523296.312,286
09-29-2012 16:15,509704.2,286
09-29-2012 16:30,516500.256,286
09-29-2012 16:45,509704.2,286
09-29-2012 17:00,497811.102,286
09-29-2012 17:15,516500.256,286
