DateTime (MDT),Average Load (g/min)
10-01 00:00,2448.805053
10-01 00:15,2446.63728
10-01 00:30,2401.609371
10-01 00:45,2397.378996
10-01 01:00,2397.940256
10-01 01:15,2383.249843
10-01 01:30,2358.295312
10-01 01:45,2321.553349
10-01 02:00,2320.143224
10-01 02:15,2249.688717
10-01 02:30,2336.895763
10-01 02:45,2381.844855
10-01 03:00,2340.270953
10-01 03:15,2377.296565
10-01 03:30,2415.388822
10-01 03:45,2374.958519
10-01 04:00,2404.107821
10-01 04:15,2400.933072
10-01 04:30,2364.115365
10-01 04:45,2400.224075
10-01 05:00,2409.509366
10-01 05:15,2452.00115
10-01 05:30,2410.471845
10-01 05:45,2407.400476
10-01 06:00,2406.109948
10-01 06:15,2406.109948
10-01 06:30,2444.383281
10-01 06:45,2399.762336
10-01 07:00,2399.762336
10-01 07:15,2402.865899
10-01 07:30,2317.74101
10-01 07:45,2222.849462
10-01 08:00,2187.797381
10-01 08:15,2259.525245
10-01 08:30,2275.881194
10-01 08:45,2278.889962
10-01 09:00,2238.836314
10-01 09:15,2177.260851
10-01 09:30,2238.203869
10-01 09:45,2229.791529
10-01 10:00,2286.528248
10-01 10:15,2326.924471
10-01 10:30,2287.818251
10-01 10:45,2247.653114
10-01 11:00,2251.040228
10-01 11:15,2252.968806
10-01 11:30,2252.70958
10-01 11:45,2246.923846
10-01 12:00,2246.713031
10-01 12:15,2246.923846
10-01 12:30,2291.294556
10-01 12:45,2328.427603
10-01 13:00,2333.229276
10-01 13:15,2372.029647
10-01 13:30,2374.562053
10-01 13:45,2331.630731
10-01 14:00,2252.508756
10-01 14:15,2313.318708
10-01 14:30,2366.810993
10-01 14:45,2332.249821
10-01 15:00,2332.969193
10-01 15:15,2293.569573
10-01 15:30,2318.643224
10-01 15:45,2332.647653
10-01 16:00,2372.169495
10-01 16:15,2331.845172
10-01 16:30,2339.503918
10-01 16:45,2339.577131
10-01 17:00,2338.045382
10-01 17:15,2292.00799
10-01 17:30,2284.42818
10-01 17:45,2247.218581
10-01 18:00,2134.873138
10-01 18:15,2130.405715
10-01 18:30,2197.392739
10-01 18:45,2169.644062
10-01 19:00,2206.291099
10-01 19:15,2162.055058
10-01 19:30,2203.458686
10-01 19:45,2198.916478
10-01 20:00,2195.204794
10-01 20:15,2149.116868
10-01 20:30,2148.176785
10-01 20:45,2233.087043
10-01 21:00,2271.895403
10-01 21:15,2233.577356
10-01 21:30,2231.729622
10-01 21:45,2231.729622
10-01 22:00,2221.283297
10-01 22:15,2220.849742
10-01 22:30,2219.869117
10-01 22:45,2259.75731
10-01 23:00,2259.364297
10-01 23:15,2257.753611
10-01 23:30,2263.096251
10-01 23:45,2260.857412
10-02 00:00,2261.682072
10-02 00:15,2300.267956
10-02 00:30,2298.809419
10-02 00:45,2298.298836
10-02 01:00,2338.489492
10-02 01:15,2296.678898
10-02 01:30,2324.283953
10-02 01:45,2351.14381
10-02 02:00,2348.984384
10-02 02:15,2416.189201
10-02 02:30,2477.635708
10-02 02:45,2602.87971
10-02 03:00,2651.427374
10-02 03:15,2601.010202
10-02 03:30,2557.483636
10-02 03:45,2515.109303
10-02 04:00,2517.7309
10-02 04:15,2516.592402
10-02 04:30,2512.694466
10-02 04:45,2473.227666
10-02 05:00,2471.991869
10-02 05:15,2427.355971
10-02 05:30,2463.2288
10-02 05:45,2421.473295
10-02 06:00,2376.59856
10-02 06:15,2417.304089
10-02 06:30,2455.754563
10-02 06:45,2448.985678
10-02 07:00,2489.646255
10-02 07:15,2526.75922
10-02 07:30,2615.226653
10-02 07:45,2714.963805
10-02 08:00,2838.940012
10-02 08:15,2896.403159
10-02 08:30,2890.986114
10-02 08:45,2876.755132
10-02 09:00,2831.4048
10-02 09:15,2738.238216
10-02 09:30,2696.462201
10-02 09:45,2649.183172
10-02 10:00,2690.188063
10-02 10:15,2733.564983
10-02 10:30,2642.545781
10-02 10:45,2602.549536
10-02 11:00,2518.358506
10-02 11:15,2432.765482
10-02 11:30,2475.270573
10-02 11:45,2353.759791
10-02 12:00,2353.800333
10-02 12:15,2354.458773
10-02 12:30,2312.647178
10-02 12:45,2275.702053
10-02 13:00,2312.60461
10-02 13:15,2398.136821
10-02 13:30,2311.243134
10-02 13:45,2308.137425
10-02 14:00,2307.499256
10-02 14:15,2309.286058
10-02 14:30,2309.286058
10-02 14:45,2350.932029
10-02 15:00,2353.141893
10-02 15:15,2387.857789
10-02 15:30,2393.265882
10-02 15:45,2527.875505
10-02 16:00,2634.026269
10-02 16:15,2771.808182
10-02 16:30,3014.235734
10-02 16:45,3356.482287
10-02 17:00,3563.545297
10-02 17:15,3717.372599
10-02 17:30,3718.66731
10-02 17:45,3802.075493
10-02 18:00,3771.488738
10-02 18:15,3804.895504
10-02 18:30,3725.655172
10-02 18:45,3484.122884
10-02 19:00,3309.310052
10-02 19:15,3152.251076
10-02 19:30,2997.103152
10-02 19:45,2757.606086
10-02 20:00,2747.085523
10-02 20:15,2602.991471
10-02 20:30,2549.907748
10-02 20:45,2503.647262
10-02 21:00,2462.604404
10-02 21:15,2419.267307
10-02 21:30,2417.056847
10-02 21:45,2371.217753
10-02 22:00,2367.803929
10-02 22:15,2368.486693
10-02 22:30,2404.673695
10-02 22:45,2400.666297
10-02 23:00,2364.454971
10-02 23:15,2357.492273
10-02 23:30,2320.642778
10-02 23:45,2282.066387
10-03 00:00,2238.410279
10-03 00:15,2281.40592
10-03 00:30,2278.699186
10-03 00:45,2276.717785
10-03 01:00,2279.294787
10-03 01:15,2278.569454
10-03 01:30,2275.396851
10-03 01:45,2315.934372
10-03 02:00,2313.335072
10-03 02:15,2315.316473
10-03 02:30,2273.179952
10-03 02:45,2307.47677
10-03 03:00,2307.47677
10-03 03:15,2305.562262
10-03 03:30,2346.30893
10-03 03:45,2344.987995
10-03 04:00,2344.349826
10-03 04:15,2344.372124
10-03 04:30,2386.11909
10-03 04:45,2344.073787
10-03 05:00,2303.919572
10-03 05:15,2303.919572
10-03 05:30,2379.305274
10-03 05:45,2377.346171
10-03 06:00,2299.999338
10-03 06:15,2296.164241
10-03 06:30,2337.116954
10-03 06:45,2338.352751
10-03 07:00,2298.678404
10-03 07:15,2257.405057
10-03 07:30,2296.164241
10-03 07:45,2298.273348
10-03 08:00,2298.315916
10-03 08:15,2298.315916
10-03 08:30,2297.080119
10-03 08:45,2329.329001
10-03 09:00,2319.734164
10-03 09:15,2344.509668
10-03 09:30,2383.324895
10-03 09:45,2439.163525
10-03 10:00,2413.604618
10-03 10:15,2458.725775
10-03 10:30,2420.330913
10-03 10:45,2425.142699
10-03 11:00,2386.11909
10-03 11:15,2344.193742
10-03 11:30,2348.705522
10-03 11:45,2346.041356
10-03 12:00,2301.095078
10-03 12:15,2299.818739
10-03 12:30,2299.18057
10-03 12:45,2262.685454
10-03 13:00,2301.733247
10-03 13:15,2343.970764
10-03 13:30,2345.952165
10-03 13:45,2387.069428
10-03 14:00,2351.680377
10-03 14:15,2310.54487
10-03 14:30,2235.418275
10-03 14:45,2231.092985
10-03 15:00,2230.475087
10-03 15:15,2188.40987
10-03 15:30,2189.667965
10-03 15:45,2274.709317
10-03 16:00,2280.45284
10-03 16:15,2244.686754
10-03 16:30,2207.430939
10-03 16:45,2208.071136
10-03 17:00,2206.857636
10-03 17:15,2163.68397
10-03 17:30,2206.984984
10-03 17:45,2164.078891
10-03 18:00,2196.674402
10-03 18:15,2195.527796
10-03 18:30,2196.479803
10-03 18:45,2190.995745
10-03 19:00,2190.960163
10-03 19:15,2192.957423
10-03 19:30,2194.063487
10-03 19:45,2191.298326
10-03 20:00,2192.61926
10-03 20:15,2231.25682
10-03 20:30,2230.150756
10-03 20:45,2234.021982
10-03 21:00,2151.51249
10-03 21:15,2231.127088
10-03 21:30,2232.62235
10-03 21:45,2236.589206
10-03 22:00,2194.554754
10-03 22:15,2199.256721
10-03 22:30,2157.703278
10-03 22:45,2240.941753
10-03 23:00,2203.51757
10-03 23:15,2204.852813
10-03 23:30,2239.878615
10-03 23:45,2240.940084
10-04 00:00,2237.932032
10-04 00:15,2204.538737
10-04 00:30,2242.177908
10-04 00:45,2242.177908
10-04 01:00,2241.823529
10-04 01:15,2238.993501
10-04 01:30,2243.061353
10-04 01:45,2242.884998
10-04 02:00,2237.577652
10-04 02:15,2237.755677
10-04 02:30,2237.401297
10-04 02:45,2239.876945
10-04 03:00,2240.762059
10-04 03:15,2240.584035
10-04 03:30,2246.361016
10-04 03:45,2283.212492
10-04 04:00,2247.163497
10-04 04:15,2324.289214
10-04 04:30,2366.536628
10-04 04:45,2402.81914
10-04 05:00,2359.979941
10-04 05:15,2357.686729
10-04 05:30,2398.806019
10-04 05:45,2355.549482
10-04 06:00,2358.836744
10-04 06:15,2354.56845
10-04 06:30,2352.554855
10-04 06:45,2357.532146
10-04 07:00,2358.283712
10-04 07:15,2361.800439
10-04 07:30,2396.869332
10-04 07:45,2360.892908
10-04 08:00,2360.141342
10-04 08:15,2359.389776
10-04 08:30,2441.149968
10-04 08:45,2441.723271
10-04 09:00,2402.894521
10-04 09:15,2402.011315
10-04 09:30,2366.357839
10-04 09:45,2360.694374
10-04 10:00,2323.049601
10-04 10:15,2366.4658
10-04 10:30,2366.508368
10-04 10:45,2368.763066
10-04 11:00,2332.527702
10-04 11:15,2296.205652
10-04 11:30,2297.862722
10-04 11:45,2335.206749
10-04 12:00,2329.913235
10-04 12:15,2251.671559
10-04 12:30,2254.272886
10-04 12:45,2212.401553
10-04 13:00,2216.595083
10-04 13:15,2217.040681
10-04 13:30,2258.403577
10-04 13:45,2257.16778
10-04 14:00,2298.559961
10-04 14:15,2300.463975
10-04 14:30,2290.085237
10-04 14:45,2291.231843
10-04 15:00,2333.803469
10-04 15:15,2330.999793
10-04 15:30,2291.725733
10-04 15:45,2332.873759
10-04 16:00,2292.852068
10-04 16:15,2289.874064
10-04 16:30,2331.189622
10-04 16:45,2371.122123
10-04 17:00,2329.038663
10-04 17:15,2330.317028
10-04 17:30,2327.25186
10-04 17:45,2320.860032
10-04 18:00,2322.646835
10-04 18:15,2321.876906
10-04 18:30,2321.789742
10-04 18:45,2316.763444
10-04 19:00,2320.377183
10-04 19:15,2356.919469
10-04 19:30,2357.776204
10-04 19:45,2357.553227
10-04 20:00,2358.521451
10-04 20:15,2397.480792
10-04 20:30,2388.474044
10-04 20:45,2352.682966
10-04 21:00,2356.173342
10-04 21:15,2323.75216
10-04 21:30,2320.433966
10-04 21:45,2324.858224
10-04 22:00,2361.048873
10-04 22:15,2360.651806
10-04 22:30,2359.701706
10-04 22:45,2320.353241
10-04 23:00,2278.966616
10-04 23:15,2324.510045
10-04 23:30,2285.400297
10-04 23:45,2366.423231
10-05 00:00,2327.295478
10-05 00:15,2410.529658
10-05 00:30,2363.261002
10-05 00:45,2362.552005
10-05 01:00,2369.032428
10-05 01:15,2368.876463
10-05 01:30,2368.876463
10-05 01:45,2447.525222
10-05 02:00,2412.527157
10-05 02:15,2367.018832
10-05 02:30,2366.309835
10-05 02:45,2372.850544
10-05 03:00,2329.681935
10-05 03:15,2330.212669
10-05 03:30,2328.089731
10-05 03:45,2365.402304
10-05 04:00,2369.628029
10-05 04:15,2366.111301
10-05 04:30,2367.415899
10-05 04:45,2400.588648
10-05 05:00,2403.633426
10-05 05:15,2445.742999
10-05 05:30,2404.741518
10-05 05:45,2358.306296
10-05 06:00,2371.372263
10-05 06:15,2411.099146
10-05 06:30,2412.6427
10-05 06:45,2412.6427
10-05 07:00,2408.325756
10-05 07:15,2365.955336
10-05 07:30,2370.776662
10-05 07:45,2288.248568
10-05 08:00,2334.059571
10-05 08:15,2291.631509
10-05 08:30,2332.467367
10-05 08:45,2290.039305
10-05 09:00,2294.682249
10-05 09:15,2331.044841
10-05 09:30,2295.27785
10-05 09:45,2294.082713
10-05 10:00,2296.93492
10-05 10:15,2298.527123
10-05 10:30,2300.516394
10-05 10:45,2264.804776
10-05 11:00,2263.388928
10-05 11:15,2266.74969
10-05 11:30,2267.985845
10-05 11:45,2223.684223
10-05 12:00,2266.630857
10-05 12:15,2301.608771
10-05 12:30,2351.67991
10-05 12:45,2349.520485
10-05 13:00,2269.361916
10-05 13:15,2232.634809
10-05 13:30,2190.491849
10-05 13:45,2154.970608
10-05 14:00,2161.547257
10-05 14:15,2123.074555
10-05 14:30,2125.035805
10-05 14:45,2170.890449
10-05 15:00,2128.998607
10-05 15:15,2173.429056
10-05 15:30,2174.602133
10-05 15:45,2218.852959
10-05 16:00,2173.044152
