DateTime (MDT),Discharge (l/min),SC (microSiemens/cm)
09-25-2014 16:30,4995,2183
09-25-2014 16:45,4995,2173
09-25-2014 17:00,4995,2174
09-25-2014 17:15,5182,2174
09-25-2014 17:30,4995,2178
09-25-2014 17:45,4995,2174
09-25-2014 18:00,4995,2168
09-25-2014 18:15,4995,2168
09-25-2014 18:30,4995,2167
09-25-2014 18:45,4995,2159
09-25-2014 19:00,5182,2157
09-25-2014 19:15,5352,2157
09-25-2014 19:30,5539,2146
09-25-2014 19:45,5539,2146
09-25-2014 20:00,5539,2140
09-25-2014 20:15,5539,2133
09-25-2014 20:30,5539,2133
09-25-2014 20:45,5726,2134
09-25-2014 21:00,5726,2145
09-25-2014 21:15,5726,2138
09-25-2014 21:30,5726,2139
09-25-2014 21:45,5726,2136
09-25-2014 22:00,5726,2136
09-25-2014 22:15,5930,2134
09-25-2014 22:30,5930,2140
09-25-2014 22:45,5930,2135
09-25-2014 23:00,5930,2138
09-25-2014 23:15,5930,2141
09-25-2014 23:30,5930,2142
09-25-2014 23:45,5930,2141
09-26-2014 00:00,5930,2142
09-26-2014 00:15,5930,2142
09-26-2014 00:30,5930,2141
09-26-2014 00:45,6116,2141
09-26-2014 01:00,6116,2142
09-26-2014 01:15,6116,2138
09-26-2014 01:30,6116,2139
09-26-2014 01:45,6116,2137
09-26-2014 02:00,6116,2139
09-26-2014 02:15,5930,2140
09-26-2014 02:30,5930,2142
09-26-2014 02:45,5930,2142
09-26-2014 03:00,6116,2142
09-26-2014 03:15,5930,2142
09-26-2014 03:30,5930,2143
09-26-2014 03:45,5930,2144
09-26-2014 04:00,5930,2144
09-26-2014 04:15,5930,2148
09-26-2014 04:30,5930,2145
09-26-2014 04:45,5930,2143
09-26-2014 05:00,5930,2147
09-26-2014 05:15,5930,2144
09-26-2014 05:30,5930,2142
09-26-2014 05:45,5930,2142
09-26-2014 06:00,5930,2145
09-26-2014 06:15,5930,2145
09-26-2014 06:30,5930,2145
09-26-2014 06:45,5726,2146
09-26-2014 07:00,5930,2148
09-26-2014 07:15,5930,2146
09-26-2014 07:30,5930,2147
09-26-2014 07:45,5726,2148
09-26-2014 08:00,5726,2150
09-26-2014 08:15,5726,2150
09-26-2014 08:30,5726,2148
09-26-2014 08:45,5726,2147
09-26-2014 09:00,5726,2148
09-26-2014 09:15,5726,2149
09-26-2014 09:30,5726,2148
09-26-2014 09:45,5726,2148
09-26-2014 10:00,5726,2150
09-26-2014 10:15,5726,2152
09-26-2014 10:30,5930,2153
09-26-2014 10:45,5726,2156
09-26-2014 11:00,5726,2157
09-26-2014 11:15,5539,2164
09-26-2014 11:30,5539,2167
09-26-2014 11:45,5539,2168
09-26-2014 12:00,5352,2170
09-26-2014 12:15,5352,2170
09-26-2014 12:30,5352,2174
09-26-2014 12:45,5352,2178
09-26-2014 13:00,5352,2179
09-26-2014 13:15,5539,2182
09-26-2014 13:30,5182,2182
09-26-2014 13:45,4995,2186
09-26-2014 14:00,4995,2191
09-26-2014 14:15,4995,2195
