2014,DateTime (MDT),Discharge (l/min),SC (microSiemens/cm),,2015,DateTime (MDT),Discharge (l/min),SC (microSiemens/cm)
,10-01-2014 00:00,7323,2020,,,10-01-2015 00:00,3789,2166
,10-01-2014 00:15,7323,2017,,,10-01-2015 00:15,3789,2167
,10-01-2014 00:30,7119,2017,,,10-01-2015 00:30,3789,2164
,10-01-2014 00:45,7119,2020,,,10-01-2015 00:45,3789,2149
,10-01-2014 01:00,7119,2018,,,10-01-2015 01:00,3789,2154
,10-01-2014 01:15,7119,2014,,,10-01-2015 01:15,3789,2129
,10-01-2014 01:30,7119,2021,,,10-01-2015 01:30,3619,2147
,10-01-2014 01:45,6915,2029,,,10-01-2015 01:45,3619,2148
,10-01-2014 02:00,6915,2032,,,10-01-2015 02:00,3619,2139
,10-01-2014 02:15,6915,2035,,,10-01-2015 02:15,3619,1970
,10-01-2014 02:30,6915,2034,,,10-01-2015 02:30,3619,2174
,10-01-2014 02:45,7119,2034,,,10-01-2015 02:45,3619,2176
,10-01-2014 03:00,6915,2036,,,10-01-2015 03:00,3619,2178
,10-01-2014 03:15,6915,2035,,,10-01-2015 03:15,3789,2174
,10-01-2014 03:30,6915,2038,,,10-01-2015 03:30,3942,2174
,10-01-2014 03:45,6915,2036,,,10-01-2015 03:45,3789,2167
,10-01-2014 04:00,6915,2038,,,10-01-2015 04:00,3942,2150
,10-01-2014 04:15,6915,2037,,,10-01-2015 04:15,3942,2145
,10-01-2014 04:30,6915,2036,,,10-01-2015 04:30,3789,2143
,10-01-2014 04:45,6915,2035,,,10-01-2015 04:45,3942,2147
,10-01-2014 05:00,6915,2036,,,10-01-2015 05:00,3942,2165
,10-01-2014 05:15,6915,2035,,,10-01-2015 05:15,4112,2173
,10-01-2014 05:30,6711,2037,,,10-01-2015 05:30,4112,2175
,10-01-2014 05:45,6711,2035,,,10-01-2015 05:45,4112,2172
,10-01-2014 06:00,6711,2034,,,10-01-2015 06:00,4112,2171
,10-01-2014 06:15,6711,2034,,,10-01-2015 06:15,4112,2171
,10-01-2014 06:30,6711,2035,,,10-01-2015 06:30,4282,2167
,10-01-2014 06:45,6507,2035,,,10-01-2015 06:45,4282,2166
,10-01-2014 07:00,6507,2035,,,10-01-2015 07:00,4282,2166
,10-01-2014 07:15,6507,2039,,,10-01-2015 07:15,4282,2166
,10-01-2014 07:30,6303,2037,,,10-01-2015 07:30,4112,2166
,10-01-2014 07:45,6303,2036,,,10-01-2015 07:45,4112,1974
,10-01-2014 08:00,6303,2036,,,10-01-2015 08:00,3942,1975
,10-01-2014 08:15,6303,2037,,,10-01-2015 08:15,3942,2126
,10-01-2014 08:30,6303,2040,,,10-01-2015 08:30,3942,2156
,10-01-2014 08:45,6303,2039,,,10-01-2015 08:45,3942,2164
,10-01-2014 09:00,6116,2039,,,10-01-2015 09:00,3942,2165
,10-01-2014 09:15,6116,2039,,,10-01-2015 09:15,3942,2034
,10-01-2014 09:30,6116,2042,,,10-01-2015 09:30,3942,2159
,10-01-2014 09:45,6116,2044,,,10-01-2015 09:45,3942,2138
,10-01-2014 10:00,6116,2045,,,10-01-2015 10:00,4112,2173
,10-01-2014 10:15,6303,2044,,,10-01-2015 10:15,4112,2174
,10-01-2014 10:30,6303,2044,,,10-01-2015 10:30,3942,2175
,10-01-2014 10:45,6116,2044,,,10-01-2015 10:45,3942,2176
,10-01-2014 11:00,6116,2048,,,10-01-2015 11:00,3942,2177
,10-01-2014 11:15,6116,2050,,,10-01-2015 11:15,3942,2178
,10-01-2014 11:30,6116,2049,,,10-01-2015 11:30,3942,2179
,10-01-2014 11:45,6116,2043,,,10-01-2015 11:45,3942,2176
,10-01-2014 12:00,6116,2044,,,10-01-2015 12:00,3942,2174
,10-01-2014 12:15,6116,2043,,,10-01-2015 12:15,3942,2176
,10-01-2014 12:30,6303,2048,,,10-01-2015 12:30,3942,2176
,10-01-2014 12:45,6303,2046,,,10-01-2015 12:45,4112,2174
,10-01-2014 13:00,6507,2046,,,10-01-2015 13:00,3942,2174
,10-01-2014 13:15,6507,2045,,,10-01-2015 13:15,4112,2174
,10-01-2014 13:30,6507,2047,,,10-01-2015 13:30,4112,2176
,10-01-2014 13:45,6303,2047,,,10-01-2015 13:45,4112,2179
,10-01-2014 14:00,5930,2052,,,10-01-2015 14:00,4112,2176
,10-01-2014 14:15,6116,2052,,,10-01-2015 14:15,4282,2138
,10-01-2014 14:30,6303,2058,,,10-01-2015 14:30,4282,2154
,10-01-2014 14:45,6303,2055,,,10-01-2015 14:45,4112,2168
,10-01-2014 15:00,6303,2054,,,10-01-2015 15:00,4112,2171
,10-01-2014 15:15,6116,2056,,,10-01-2015 15:15,4112,2171
,10-01-2014 15:30,6116,2053,,,10-01-2015 15:30,4282,2147
,10-01-2014 15:45,6116,2054,,,10-01-2015 15:45,4282,2173
,10-01-2014 16:00,6116,2055,,,10-01-2015 16:00,4451,2172
,10-01-2014 16:15,6116,2055,,,10-01-2015 16:15,4282,2170
,10-01-2014 16:30,6116,2055,,,10-01-2015 16:30,4282,2185
,10-01-2014 16:45,6116,2053,,,10-01-2015 16:45,4282,2188
