Date-Time(MDT),Load Average
10-01 00:00,8338.847884
10-01 00:15,8299.923362
10-01 00:30,8340.539756
10-01 00:45,8300.730097
10-01 01:00,8341.80866
10-01 01:15,8342.21727
10-01 01:30,8341.342617
10-01 01:45,8342.625879
10-01 02:00,8336.187464
10-01 02:15,8291.731241
10-01 02:30,8399.290309
10-01 02:45,8349.723516
10-01 03:00,8310.59481
10-01 03:15,8457.694181
10-01 03:30,8350.963703
10-01 03:45,8351.40103
10-01 04:00,8458.117149
10-01 04:15,8458.977443
10-01 04:30,8451.854327
10-01 04:45,8451.037108
10-01 05:00,8409.801843
10-01 05:15,8449.753846
10-01 05:30,8410.21653
10-01 05:45,8450.61414
10-01 06:00,8450.191172
10-01 06:15,8456.045384
10-01 06:30,8456.468352
10-01 06:45,8456.468352
10-01 07:00,8456.045384
10-01 07:15,8491.596734
10-01 07:30,8485.542686
10-01 07:45,8451.50315
10-01 08:00,8492.38435
10-01 08:15,8478.010961
10-01 08:30,8448.120491
10-01 08:45,8447.697523
10-01 09:00,8448.106133
10-01 09:15,8407.341318
10-01 09:30,8440.997375
10-01 09:45,8476.845867
10-01 10:00,8436.512301
10-01 10:15,8481.943596
10-01 10:30,8531.262648
10-01 10:45,8452.298275
10-01 11:00,8530.416712
10-01 11:15,8457.292193
10-01 11:30,8493.257769
10-01 11:45,8452.639545
10-01 12:00,8493.970125
10-01 12:15,8381.778586
10-01 12:30,8493.749805
10-01 12:45,8495.432307
10-01 13:00,8526.263154
10-01 13:15,8379.490379
10-01 13:30,8534.842367
10-01 13:45,8382.194926
10-01 14:00,8498.504105
10-01 14:15,8499.360536
10-01 14:30,8527.120682
10-01 14:45,8425.094768
10-01 15:00,8425.98156
10-01 15:15,8431.073215
10-01 15:30,8388.992265
10-01 15:45,8389.838201
10-01 16:00,8391.859209
10-01 16:15,8439.549729
10-01 16:30,8367.07968
10-01 16:45,8397.91881
10-01 17:00,8390.553304
10-01 17:15,8389.6908
10-01 17:30,8353.954389
10-01 17:45,8417.73311
10-01 18:00,8320.219145
10-01 18:15,8410.774657
10-01 18:30,8343.630365
10-01 18:45,8264.094814
10-01 19:00,8255.520582
10-01 19:15,8352.375933
10-01 19:30,8302.084817
10-01 19:45,8326.285753
10-01 20:00,8333.841795
10-01 20:15,8379.341247
10-01 20:30,8384.273317
10-01 20:45,8388.308647
10-01 21:00,8390.987823
10-01 21:15,8425.142326
10-01 21:30,8388.093439
10-01 21:45,8486.192141
10-01 22:00,8422.836431
10-01 22:15,8420.570291
10-01 22:30,8450.382476
10-01 22:45,8451.780597
10-01 23:00,8407.07062
10-01 23:15,8398.01394
10-01 23:30,8440.03021
10-01 23:45,8435.398521
10-02 00:00,8385.89566
10-02 00:15,8431.018636
10-02 00:30,8424.365977
10-02 00:45,8424.889446
10-02 01:00,8423.520039
10-02 01:15,8420.566988
10-02 01:30,8462.560263
10-02 01:45,8449.587167
10-02 02:00,8443.497737
10-02 02:15,8478.360358
10-02 02:30,8474.619704
10-02 02:45,8464.176889
10-02 03:00,8502.203338
10-02 03:15,8497.942735
10-02 03:30,8496.97532
10-02 03:45,8541.912385
10-02 04:00,8544.052082
10-02 04:15,8591.43464
10-02 04:30,8599.206398
10-02 04:45,8642.094006
10-02 05:00,8725.425688
10-02 05:15,8648.682997
10-02 05:30,8647.641587
10-02 05:45,8646.683555
10-02 06:00,8723.509625
10-02 06:15,8647.17957
10-02 06:30,8618.344879
10-02 06:45,8714.518683
10-02 07:00,8696.424964
10-02 07:15,8670.128892
10-02 07:30,8697.232256
10-02 07:45,8685.227807
10-02 08:00,8712.226408
10-02 08:15,8671.261968
10-02 08:30,8738.425636
10-02 08:45,8684.365168
10-02 09:00,8759.195261
10-02 09:15,8758.746351
10-02 09:30,8713.307861
10-02 09:45,8756.818674
10-02 10:00,8792.904014
10-02 10:15,8770.566321
10-02 10:30,8820.335242
10-02 10:45,8789.717512
10-02 11:00,8727.85078
10-02 11:15,8702.986812
10-02 11:30,8750.156217
10-02 11:45,8737.867264
10-02 12:00,8790.133814
10-02 12:15,8765.08355
10-02 12:30,8775.076302
10-02 12:45,8785.267841
10-02 13:00,8739.46355
10-02 13:15,8751.072544
10-02 13:30,8760.489406
10-02 13:45,8864.310644
10-02 14:00,8749.258635
10-02 14:15,8740.919637
10-02 14:30,8518.616502
10-02 14:45,8650.305105
10-02 15:00,8772.390331
10-02 15:15,8800.600445
10-02 15:30,8925.256128
10-02 15:45,8796.0634
10-02 16:00,8983.844153
10-02 16:15,9027.062688
10-02 16:30,9043.798801
10-02 16:45,9110.143723
10-02 17:00,9170.677105
10-02 17:15,9166.24532
10-02 17:30,9138.178072
10-02 17:45,8900.816634
10-02 18:00,8837.955971
10-02 18:15,8875.16664
10-02 18:30,8995.964314
10-02 18:45,9085.565026
10-02 19:00,8976.400644
10-02 19:15,8911.663345
10-02 19:30,8914.692523
10-02 19:45,8899.514249
10-02 20:00,8952.475719
10-02 20:15,8996.165024
10-02 20:30,9065.021984
10-02 20:45,9113.952583
10-02 21:00,9117.955247
10-02 21:15,9113.386959
10-02 21:30,9211.02732
10-02 21:45,9217.326542
10-02 22:00,9263.822053
10-02 22:15,9222.642849
10-02 22:30,9179.335484
10-02 22:45,9209.077927
10-02 23:00,9488.128446
10-02 23:15,9485.459052
10-02 23:30,9663.37285
10-02 23:45,9658.529148
10-03 00:00,9650.174527
10-03 00:15,9738.198443
10-03 00:30,9728.813356
10-03 00:45,9726.922995
10-03 01:00,9657.421171
10-03 01:15,9761.772133
10-03 01:30,9748.188716
10-03 01:45,9889.787945
10-03 02:00,9961.312874
10-03 02:15,10021.07363
10-03 02:30,10170.59211
10-03 02:45,10356.38427
10-03 03:00,10408.33971
10-03 03:15,10489.87972
10-03 03:30,10618.88921
10-03 03:45,10655.98684
10-03 04:00,10745.02867
10-03 04:15,10780.92027
10-03 04:30,10898.74841
10-03 04:45,10902.65138
10-03 05:00,11145.00553
10-03 05:15,11344.11406
10-03 05:30,11483.42291
10-03 05:45,11576.2825
10-03 06:00,11655.49342
10-03 06:15,11631.68366
10-03 06:30,11684.60995
10-03 06:45,11668.56706
10-03 07:00,11787.90042
10-03 07:15,11633.43456
10-03 07:30,11748.22431
10-03 07:45,11920.83186
10-03 08:00,11786.81204
10-03 08:15,11891.67684
10-03 08:30,11860.30215
10-03 08:45,11806.09743
10-03 09:00,11794.71372
10-03 09:15,11957.21846
10-03 09:30,11950.57025
10-03 09:45,11939.76917
10-03 10:00,12007.10292
10-03 10:15,12104.20675
10-03 10:30,12104.39945
10-03 10:45,12086.35448
10-03 11:00,12089.46877
10-03 11:15,12035.83575
10-03 11:30,11916.43963
10-03 11:45,12033.03115
10-03 12:00,11786.50054
10-03 12:15,11846.48668
10-03 12:30,11746.55815
10-03 12:45,11630.20096
10-03 13:00,11510.89105
10-03 13:15,11599.53356
10-03 13:30,11548.96667
10-03 13:45,11505.10114
10-03 14:00,11470.45534
10-03 14:15,11515.33029
10-03 14:30,11312.42615
10-03 14:45,11333.6415
10-03 15:00,11408.0345
10-03 15:15,11116.27412
10-03 15:30,11062.00508
10-03 15:45,11046.75797
10-03 16:00,11138.94552
10-03 16:15,11133.55185
10-03 16:30,11077.66133
10-03 16:45,10938.77658
10-03 17:00,10927.66786
10-03 17:15,10912.05974
10-03 17:30,10832.73862
10-03 17:45,10932.81961
10-03 18:00,10923.83344
10-03 18:15,10928.86121
10-03 18:30,10960.57523
10-03 18:45,10917.33753
10-03 19:00,10919.97003
10-03 19:15,10861.92191
10-03 19:30,10820.01828
10-03 19:45,10694.2494
10-03 20:00,10786.80263
10-03 20:15,10733.9758
10-03 20:30,10638.57951
10-03 20:45,10797.97675
10-03 21:00,10659.01774
10-03 21:15,10632.4767
10-03 21:30,10616.07146
10-03 21:45,10594.05535
10-03 22:00,10544.31813
10-03 22:15,10506.26084
10-03 22:30,10549.51862
10-03 22:45,10508.74526
10-03 23:00,10494.08545
10-03 23:15,10429.29786
10-03 23:30,10469.11647
10-03 23:45,10401.70051
10-04 00:00,10404.83227
10-04 00:15,10479.82464
10-04 00:30,10418.89016
10-04 00:45,10407.72187
10-04 01:00,10399.21831
10-04 01:15,10434.50619
10-04 01:30,10377.91413
10-04 01:45,10329.13422
10-04 02:00,10353.36746
10-04 02:15,10296.82069
10-04 02:30,10325.19206
10-04 02:45,10265.63341
10-04 03:00,10172.70423
10-04 03:15,10261.15331
10-04 03:30,10216.61303
10-04 03:45,10166.49687
10-04 04:00,10117.54146
10-04 04:15,9947.105441
10-04 04:30,9988.520613
10-04 04:45,10126.4702
10-04 05:00,9997.232901
10-04 05:15,10081.37782
10-04 05:30,10055.0139
10-04 05:45,9985.13156
10-04 06:00,9992.177349
10-04 06:15,9996.149576
10-04 06:30,9968.946323
10-04 06:45,9920.691864
10-04 07:00,9996.450943
10-04 07:15,9829.451359
10-04 07:30,9806.027432
10-04 07:45,9914.844247
10-04 08:00,9894.626498
10-04 08:15,9854.229274
10-04 08:30,9875.979541
10-04 08:45,9891.342226
10-04 09:00,9843.064883
10-04 09:15,9905.860058
10-04 09:30,9857.020049
10-04 09:45,9858.097323
10-04 10:00,9798.869748
10-04 10:15,9758.522158
10-04 10:30,9800.119305
10-04 10:45,9822.18556
10-04 11:00,9667.991834
10-04 11:15,9752.708431
10-04 11:30,9698.495184
10-04 11:45,9695.286479
10-04 12:00,9650.702579
10-04 12:15,9681.536697
10-04 12:30,9619.658111
10-04 12:45,9659.746656
10-04 13:00,9605.863188
10-04 13:15,9567.757113
10-04 13:30,9524.040302
10-04 13:45,9553.737493
10-04 14:00,9438.181812
10-04 14:15,9432.233217
10-04 14:30,9466.184821
10-04 14:45,9381.296525
10-04 15:00,9319.599594
10-04 15:15,9369.858157
10-04 15:30,9322.654375
10-04 15:45,9344.406702
10-04 16:00,9307.867037
10-04 16:15,9289.712981
10-04 16:30,9253.58921
10-04 16:45,9280.719666
10-04 17:00,9272.593773
10-04 17:15,9289.677216
10-04 17:30,9229.262424
10-04 17:45,9225.275701
10-04 18:00,9226.628556
10-04 18:15,9226.479485
10-04 18:30,9268.437999
10-04 18:45,9278.680917
10-04 19:00,9226.846982
10-04 19:15,9278.212116
10-04 19:30,9283.374998
10-04 19:45,9199.839833
10-04 20:00,9225.993861
10-04 20:15,9226.928143
10-04 20:30,9225.366581
10-04 20:45,9230.537188
10-04 21:00,9231.161149
10-04 21:15,9131.994367
10-04 21:30,9235.083833
10-04 21:45,9179.281392
10-04 22:00,9178.343791
10-04 22:15,9231.57639
10-04 22:30,9178.705462
10-04 22:45,9178.380779
10-04 23:00,9177.587295
10-04 23:15,9178.488446
10-04 23:30,9183.636966
10-04 23:45,9183.9252
10-05 00:00,9183.600516
10-05 00:15,9223.652652
10-05 00:30,9191.857543
10-05 00:45,9260.580425
10-05 01:00,9176.409147
10-05 01:15,9260.233655
10-05 01:30,9170.297086
10-05 01:45,9221.772104
10-05 02:00,9168.325259
10-05 02:15,9215.906856
10-05 02:30,9168.059112
10-05 02:45,9301.083097
10-05 03:00,9223.691479
10-05 03:15,9310.960476
10-05 03:30,9312.688242
10-05 03:45,9316.815228
10-05 04:00,9321.086331
10-05 04:15,9278.871369
10-05 04:30,9338.208862
10-05 04:45,9344.590951
10-05 05:00,9349.533508
10-05 05:15,9356.971909
10-05 05:30,9415.604266
10-05 05:45,9367.289373
10-05 06:00,9323.763476
10-05 06:15,9325.948999
10-05 06:30,9322.336635
10-05 06:45,9322.336635
10-05 07:00,9316.693374
10-05 07:15,9265.313332
10-05 07:30,9252.188593
10-05 07:45,9302.780676
10-05 08:00,9248.915282
10-05 08:15,9286.844253
10-05 08:30,9238.575189
10-05 08:45,9251.852412
10-05 09:00,9230.254414
10-05 09:15,9228.307994
10-05 09:30,9173.415558
10-05 09:45,9191.25654
10-05 10:00,9191.473556
10-05 10:15,9140.99302
10-05 10:30,9126.86877
10-05 10:45,9106.897041
10-05 11:00,9196.697128
10-05 11:15,9120.646315
10-05 11:30,9127.520953
10-05 11:45,9220.872099
10-05 12:00,9087.282782
10-05 12:15,9139.984694
10-05 12:30,9165.506415
10-05 12:45,9114.903547
10-05 13:00,9179.899806
10-05 13:15,9175.224134
10-05 13:30,9298.649258
10-05 13:45,9284.105067
10-05 14:00,9254.435266
10-05 14:15,9309.953629
10-05 14:30,9344.437198
10-05 14:45,9426.927235
10-05 15:00,9475.215486
10-05 15:15,9430.280001
10-05 15:30,9344.656473
10-05 15:45,9332.348372
10-05 16:00,9260.501253
10-05 16:15,9311.905281
10-05 16:30,9223.693513
10-05 16:45,9224.670864
10-05 17:00,9191.609005
10-05 17:15,9227.277151
10-05 17:30,9217.779665
10-05 17:45,9221.871303
10-05 18:00,9188.442441
10-05 18:15,9185.725728
10-05 18:30,9178.425925
10-05 18:45,9125.095619
10-05 19:00,9139.886359
10-05 19:15,9132.69699
10-05 19:30,9124.828444
10-05 19:45,9125.380628
10-05 20:00,9061.470557
10-05 20:15,9109.958266
10-05 20:30,9048.660002
10-05 20:45,9098.533681
10-05 21:00,9041.547938
10-05 21:15,9095.12122
10-05 21:30,9090.206825
10-05 21:45,9125.808822
10-05 22:00,9081.863398
10-05 22:15,9079.350984
10-05 22:30,9026.942804
10-05 22:45,9068.224589
10-05 23:00,9067.860155
10-05 23:15,9063.072766
10-05 23:30,9055.993832
10-05 23:45,9041.742089
10-06 00:00,9076.91889
10-06 00:15,9032.498615
10-06 00:30,8972.520051
10-06 00:45,9018.053622
10-06 01:00,9014.735024
10-06 01:15,9011.874735
10-06 01:30,9009.710195
10-06 01:45,9005.933287
10-06 02:00,9045.803584
10-06 02:15,9004.889663
10-06 02:30,8937.721737
10-06 02:45,8996.783664
10-06 03:00,9036.41652
10-06 03:15,8936.943154
10-06 03:30,8938.715645
10-06 03:45,8937.187385
10-06 04:00,8932.260659
10-06 04:15,8989.494884
10-06 04:30,8937.119822
10-06 04:45,8939.648795
10-06 05:00,8942.536686
10-06 05:15,8946.639367
10-06 05:30,8949.16834
10-06 05:45,8951.597922
10-06 06:00,8948.732122
10-06 06:15,8950.145694
10-06 06:30,8948.588526
10-06 06:45,8945.982254
10-06 07:00,8945.822117
10-06 07:15,8965.679398
10-06 07:30,8999.456134
10-06 07:45,8994.648137
10-06 08:00,9033.213758
10-06 08:15,8989.533469
10-06 08:30,8986.452312
10-06 08:45,8983.260719
10-06 09:00,9018.503717
10-06 09:15,8970.0526
10-06 09:30,8964.4756
10-06 09:45,9014.189155
10-06 10:00,9000.981035
10-06 10:15,8999.804884
10-06 10:30,8992.632087
10-06 10:45,8984.299715
10-06 11:00,9050.387695
10-06 11:15,8902.857984
10-06 11:30,8957.121508
10-06 11:45,8892.443923
10-06 12:00,8887.435666
10-06 12:15,8965.765445
10-06 12:30,8956.488859
10-06 12:45,8867.005078
10-06 13:00,8807.727785
10-06 13:15,8860.577715
10-06 13:30,8847.148728
10-06 13:45,8842.709214
10-06 14:00,8836.56347
10-06 14:15,8836.673917
10-06 14:30,8772.173021
10-06 14:45,8820.224534
10-06 15:00,8672.555164
10-06 15:15,8760.842343
10-06 15:30,8653.540803
10-06 15:45,8700.450952
10-06 16:00,8753.514956
10-06 16:15,8673.430839
10-06 16:30,8717.333245
10-06 16:45,8677.248629
10-06 17:00,8712.10854
10-06 17:15,8678.700874
10-06 17:30,8622.760021
10-06 17:45,8719.589452
10-06 18:00,8669.632015
10-06 18:15,8670.731951
10-06 18:30,8676.348717
10-06 18:45,8677.631972
10-06 19:00,8647.475533
10-06 19:15,8651.875279
10-06 19:30,8658.108248
10-06 19:45,8621.953976
10-06 20:00,8623.620872
10-06 20:15,8685.265434
10-06 20:30,8644.960344
10-06 20:45,8689.027251
10-06 21:00,8693.96924
10-06 21:15,8660.326339
10-06 21:30,8662.944767
10-06 21:45,8704.451772
10-06 22:00,8703.371712
10-06 22:15,8701.293314
10-06 22:30,8692.676033
10-06 22:45,8749.871424
10-06 23:00,8689.5761
10-06 23:15,8704.259533
10-06 23:30,8741.489384
10-06 23:45,8676.049981
10-07 00:00,8671.189713
10-07 00:15,8666.787755
10-07 00:30,8664.087606
10-07 00:45,8760.815782
10-07 01:00,8713.18587
10-07 01:15,8655.283689
10-07 01:30,8652.50182
10-07 01:45,8645.448283
10-07 02:00,8688.70771
10-07 02:15,8643.664752
10-07 02:30,8699.181529
10-07 02:45,8651.060422
10-07 03:00,8683.04569
10-07 03:15,8641.815837
10-07 03:30,8678.152273
10-07 03:45,8733.454254
10-07 04:00,8690.518959
10-07 04:15,8653.642494
10-07 04:30,8691.975607
10-07 04:45,8635.064028
10-07 05:00,8655.557451
10-07 05:15,8737.418346
10-07 05:30,8649.03848
10-07 05:45,8693.808844
10-07 06:00,8601.019138
10-07 06:15,8650.558077
10-07 06:30,8717.946741
10-07 06:45,8641.054061
10-07 07:00,8697.802199
10-07 07:15,8698.718818
10-07 07:30,8661.760632
10-07 07:45,8642.183827
10-07 08:00,8616.600438
10-07 08:15,8653.332233
10-07 08:30,8599.760179
10-07 08:45,8610.661752
10-07 09:00,8630.336285
10-07 09:15,8584.526159
10-07 09:30,8603.975418
10-07 09:45,8542.240548
10-07 10:00,8634.768528
10-07 10:15,8574.093842
10-07 10:30,8678.092749
10-07 10:45,8676.849249
10-07 11:00,8631.640976
10-07 11:15,8591.93933
10-07 11:30,8546.266235
10-07 11:45,8690.995772
10-07 12:00,8560.308009
10-07 12:15,8572.077313
10-07 12:30,8569.259529
10-07 12:45,8520.303609
10-07 13:00,8561.052495
10-07 13:15,8630.14844
10-07 13:30,8532.485247
10-07 13:45,8568.646065
10-07 14:00,8530.772948
10-07 14:15,8624.925963
10-07 14:30,8568.839337
10-07 14:45,8567.633381
10-07 15:00,8537.316286
10-07 15:15,8537.629926
10-07 15:30,8577.19161
10-07 15:45,8534.256116
10-07 16:00,8540.533847
10-07 16:15,8493.92265
10-07 16:30,8548.017535
10-07 16:45,8550.067775
10-07 17:00,8464.168813
10-07 17:15,8510.477658
10-07 17:30,8515.848709
10-07 17:45,8553.422549
10-07 18:00,8425.414023
10-07 18:15,8473.174309
10-07 18:30,8480.169873
10-07 18:45,8527.53062
10-07 19:00,8463.04899
10-07 19:15,8467.441027
10-07 19:30,8475.02521
10-07 19:45,8483.429382
10-07 20:00,8533.383164
10-07 20:15,8533.966265
10-07 20:30,8536.111482
10-07 20:45,8537.152893
10-07 21:00,8534.091057
10-07 21:15,8537.79839
10-07 21:30,8550.584101
10-07 21:45,8503.674166
10-07 22:00,8551.291995
10-07 22:15,8508.160595
10-07 22:30,8552.520594
10-07 22:45,8547.030362
10-07 23:00,8509.342248
10-07 23:15,8500.737129
10-07 23:30,8503.733145
10-07 23:45,8595.588406
10-08 00:00,8555.14223
10-08 00:15,8505.881177
10-08 00:30,8510.856315
10-08 00:45,8593.400118
10-08 01:00,8549.157153
10-08 01:15,8593.503928
10-08 01:30,8594.128443
10-08 01:45,8586.553716
10-08 02:00,8503.044061
10-08 02:15,8539.727222
10-08 02:30,8576.262202
10-08 02:45,8532.513544
10-08 03:00,8576.005979
10-08 03:15,8576.048494
10-08 03:30,8537.458107
10-08 03:45,8491.652594
10-08 04:00,8537.116853
10-08 04:15,8535.710452
10-08 04:30,8525.015331
10-08 04:45,8519.518402
10-08 05:00,8562.369379
10-08 05:15,8540.232594
10-08 05:30,8543.151949
10-08 05:45,8498.236361
10-08 06:00,8538.442423
10-08 06:15,8548.594061
10-08 06:30,8494.869726
10-08 06:45,8530.388913
10-08 07:00,8529.342802
10-08 07:15,8533.180722
10-08 07:30,8567.604537
10-08 07:45,8535.153246
10-08 08:00,8536.607355
10-08 08:15,8540.234934
10-08 08:30,8532.276378
10-08 08:45,8540.96875
10-08 09:00,8528.217322
10-08 09:15,8555.203694
10-08 09:30,8513.037399
10-08 09:45,8551.81551
10-08 10:00,8528.263502
10-08 10:15,8516.891589
10-08 10:30,8552.862424
10-08 10:45,8518.30462
10-08 11:00,8505.291275
10-08 11:15,8470.064219
10-08 11:30,8574.088643
10-08 11:45,8513.857361
10-08 12:00,8550.550459
10-08 12:15,8471.299428
10-08 12:30,8514.046193
10-08 12:45,8464.675489
10-08 13:00,8519.304051
10-08 13:15,8511.039045
10-08 13:30,8461.756689
10-08 13:45,8460.265256
10-08 14:00,8457.708676
10-08 14:15,8414.728878
10-08 14:30,8413.256218
10-08 14:45,8457.708676
10-08 15:00,8457.154845
10-08 15:15,8415.164549
10-08 15:30,8465.571157
10-08 15:45,8417.594414
10-08 16:00,8422.142442
10-08 16:15,8436.478112
10-08 16:30,8491.330828
10-08 16:45,8522.713845
10-08 17:00,8480.862783
10-08 17:15,8480.796524
10-08 17:30,8486.728781
10-08 17:45,8488.645759
10-08 18:00,8444.940119
10-08 18:15,8495.777155
10-08 18:30,8452.474056
10-08 18:45,8503.344222
10-08 19:00,8459.974864
10-08 19:15,8519.593209
10-08 19:30,8476.135499
10-08 19:45,8481.794234
10-08 20:00,8486.482239
10-08 20:15,8537.909558
10-08 20:30,8543.932178
10-08 20:45,8491.909068
10-08 21:00,8544.671002
10-08 21:15,8496.960958
10-08 21:30,8495.455168
10-08 21:45,8499.029852
10-08 22:00,8542.525238
10-08 22:15,8539.646176
10-08 22:30,8489.123329
10-08 22:45,8491.506764
10-08 23:00,8578.205757
10-08 23:15,8527.225457
10-08 23:30,8476.70261
10-08 23:45,8473.321618
10-09 00:00,8470.944486
10-09 00:15,8472.941719
10-09 00:30,8517.392253
10-09 00:45,8468.187455
10-09 01:00,8512.60486
10-09 01:15,8511.165329
10-09 01:30,8418.725855
10-09 01:45,8458.579539
10-09 02:00,8463.218352
10-09 02:15,8501.121742
10-09 02:30,8452.385744
10-09 02:45,8491.838502
10-09 03:00,8443.983182
10-09 03:15,8435.695575
10-09 03:30,8392.580159
10-09 03:45,8438.850673
10-09 04:00,8390.777846
10-09 04:15,8433.563001
10-09 04:30,8475.391276
10-09 04:45,8426.964501
10-09 05:00,8475.021864
10-09 05:15,8476.560783
10-09 05:30,8477.095843
10-09 05:45,8483.03122
10-09 06:00,8484.503881
10-09 06:15,8391.178737
10-09 06:30,8439.324452
10-09 06:45,8434.119078
10-09 07:00,8485.75678
10-09 07:15,8485.321109
10-09 07:30,8568.990681
