DateTime (MDT),Discharge (l/min),SC (microSiemens/cm)
5-26-2010 16:45,99052,106
5-26-2010 17:00,99052,105
5-26-2010 17:15,99052,104
5-26-2010 17:30,99052,104
5-26-2010 17:45,99052,104
5-26-2010 18:00,99052,104
5-26-2010 18:15,99052,104
5-26-2010 18:30,99052,104
5-26-2010 18:45,101261,104
5-26-2010 19:00,101261,105
5-26-2010 19:15,101261,105
5-26-2010 19:30,103470,105
5-26-2010 19:45,103470,104
5-26-2010 20:00,105848,102
5-26-2010 20:15,105848,101
5-26-2010 20:30,105848,101
5-26-2010 20:45,105848,100
5-26-2010 21:00,105848,100
5-26-2010 21:15,105848,100
5-26-2010 21:30,105848,100
5-26-2010 21:45,108227,100
5-26-2010 22:00,108227,101
5-26-2010 22:15,108227,102
5-26-2010 22:30,108227,100
5-26-2010 22:45,108227,99
5-26-2010 23:00,110606,98
5-26-2010 23:15,108227,97
5-26-2010 23:30,110606,97
5-26-2010 23:45,110606,97
5-27-2010 0:00,110606,97
5-27-2010 0:15,108227,97
5-27-2010 0:30,110606,97
5-27-2010 0:45,110606,97
5-27-2010 1:00,110606,97
5-27-2010 1:15,110606,97
5-27-2010 1:30,112984,98
5-27-2010 1:45,112984,97
5-27-2010 2:00,112984,96
5-27-2010 2:15,112984,95
5-27-2010 2:30,110606,95
5-27-2010 2:45,112984,95
5-27-2010 3:00,112984,94
5-27-2010 3:15,110606,94
5-27-2010 3:30,110606,94
5-27-2010 3:45,110606,95
5-27-2010 4:00,110606,95
5-27-2010 4:15,110606,95
5-27-2010 4:30,110606,95
5-27-2010 4:45,110606,97
5-27-2010 5:00,110606,97
5-27-2010 5:15,110606,96
5-27-2010 5:30,110606,95
5-27-2010 5:45,110606,94
5-27-2010 6:00,110606,94
5-27-2010 6:15,112984,94
5-27-2010 6:30,110606,94
5-27-2010 6:45,110606,94
5-27-2010 7:00,108227,95
5-27-2010 7:15,108227,95
5-27-2010 7:30,108227,95
5-27-2010 7:45,108227,97
5-27-2010 8:00,108227,97
5-27-2010 8:15,108227,96
5-27-2010 8:30,108227,96
5-27-2010 8:45,110606,95
5-27-2010 9:00,108227,95
5-27-2010 9:15,108227,95
5-27-2010 9:30,105848,95
5-27-2010 9:45,108227,95
5-27-2010 10:00,105848,95
5-27-2010 10:15,108227,96
5-27-2010 10:30,105848,96
5-27-2010 10:45,105848,97
5-27-2010 11:00,105848,98
5-27-2010 11:15,105848,97
5-27-2010 11:30,105848,96
5-27-2010 11:45,105848,96
5-27-2010 12:00,105848,95
5-27-2010 12:15,105848,95
5-27-2010 12:30,105848,95
5-27-2010 12:45,105848,96
5-27-2010 13:00,105848,96
5-27-2010 13:15,105848,96
5-27-2010 13:30,105848,97
5-27-2010 13:45,105848,98
5-27-2010 14:00,105848,98
5-27-2010 14:15,105848,97
5-27-2010 14:30,105848,96
5-27-2010 14:45,105848,96
5-27-2010 15:00,105848,96
5-27-2010 15:15,105848,96
5-27-2010 15:30,105848,96
5-27-2010 15:45,105848,96
5-27-2010 16:00,105848,97
5-27-2010 16:15,105848,97
5-27-2010 16:30,105848,98
5-27-2010 16:45,105848,99
5-27-2010 17:00,105848,98
5-27-2010 17:15,105848,97
5-27-2010 17:30,105848,96
5-27-2010 17:45,105848,96
5-27-2010 18:00,105848,95
5-27-2010 18:15,105848,95
5-27-2010 18:30,105848,95
5-27-2010 18:45,105848,96
5-27-2010 19:00,108227,96
5-27-2010 19:15,108227,96
5-27-2010 19:30,108227,96
5-27-2010 19:45,110606,97
5-27-2010 20:00,110606,98
5-27-2010 20:15,110606,96
5-27-2010 20:30,112984,95
5-27-2010 20:45,112984,94
5-27-2010 21:00,115363,94
5-27-2010 21:15,115363,94
5-27-2010 21:30,115363,93
5-27-2010 21:45,115363,93
5-27-2010 22:00,117911,93
5-27-2010 22:15,117911,94
5-27-2010 22:30,117911,95
5-27-2010 22:45,120460,93
5-27-2010 23:00,120460,92
5-27-2010 23:15,120460,91
5-27-2010 23:30,120460,90
5-27-2010 23:45,123008,90
5-28-2010 0:00,125727,92
5-28-2010 0:15,123008,90
5-28-2010 0:30,125727,90
5-28-2010 0:45,125727,90
5-28-2010 1:00,125727,91
5-28-2010 1:15,128275,92
5-28-2010 1:30,130994,93
5-28-2010 1:45,130994,89
5-28-2010 2:00,128275,91
5-28-2010 2:15,130994,88
5-28-2010 2:30,130994,88
5-28-2010 2:45,130994,89
5-28-2010 3:00,130994,87
5-28-2010 3:15,128275,88
5-28-2010 3:30,133712,87
5-28-2010 3:45,133712,90
5-28-2010 4:00,130994,87
5-28-2010 4:15,133712,92
5-28-2010 4:30,130994,89
5-28-2010 4:45,130994,89
5-28-2010 5:00,133712,90
5-28-2010 5:15,130994,89
5-28-2010 5:30,133712,89
5-28-2010 5:45,133712,88
5-28-2010 6:00,133712,89
5-28-2010 6:15,133712,87
5-28-2010 6:30,133712,87
5-28-2010 6:45,130994,87
5-28-2010 7:00,128275,88
5-28-2010 7:15,130994,88
5-28-2010 7:30,128275,89
5-28-2010 7:45,130994,89
5-28-2010 8:00,128275,88
5-28-2010 8:15,128275,87
5-28-2010 8:30,128275,87
5-28-2010 8:45,128275,86
5-28-2010 9:00,128275,86
5-28-2010 9:15,128275,86
5-28-2010 9:30,128275,86
5-28-2010 9:45,125727,87
5-28-2010 10:00,125727,86
5-28-2010 10:15,125727,87
5-28-2010 10:30,125727,87
5-28-2010 10:45,125727,87
5-28-2010 11:00,128275,88
5-28-2010 11:15,125727,88
5-28-2010 11:30,128275,87
5-28-2010 11:45,128275,86
5-28-2010 12:00,123008,86
5-28-2010 12:15,123008,86
5-28-2010 12:30,125727,86
5-28-2010 12:45,123008,86
5-28-2010 13:00,123008,87
5-28-2010 13:15,123008,88
5-28-2010 13:30,123008,89
5-28-2010 13:45,125727,89
5-28-2010 14:00,125727,88
5-28-2010 14:15,123008,87
5-28-2010 14:30,123008,86
5-28-2010 14:45,123008,86
5-28-2010 15:00,125727,86
5-28-2010 15:15,123008,86
5-28-2010 15:30,123008,86
5-28-2010 15:45,123008,86
5-28-2010 16:00,125727,87
5-28-2010 16:15,128275,87
5-28-2010 16:30,125727,88
5-28-2010 16:45,125727,89
5-28-2010 17:00,125727,88
5-28-2010 17:15,128275,86
5-28-2010 17:30,128275,86
5-28-2010 17:45,130994,85
5-28-2010 18:00,133712,85
5-28-2010 18:15,139319,84
5-28-2010 18:30,139319,83
5-28-2010 18:45,139319,83
5-28-2010 19:00,142207,83
5-28-2010 19:15,142207,84
5-28-2010 19:30,148154,85
5-28-2010 19:45,154100,84
5-28-2010 20:00,154100,86
5-28-2010 20:15,157158,85
5-28-2010 20:30,160217,86
5-28-2010 20:45,163445,85
5-28-2010 21:00,166673,83
5-28-2010 21:15,169901,84
5-28-2010 21:30,173299,84
5-28-2010 21:45,180095,85
5-28-2010 22:00,176697,86
5-28-2010 22:15,183493,86
5-28-2010 22:30,180095,85
5-28-2010 22:45,183493,84
5-28-2010 23:00,183493,84
5-28-2010 23:15,183493,83
5-28-2010 23:30,183493,83
5-28-2010 23:45,180095,83
5-29-2010 0:00,183493,82
5-29-2010 0:15,183493,82
5-29-2010 0:30,180095,82
5-29-2010 0:45,180095,82
5-29-2010 1:00,176697,80
5-29-2010 1:15,180095,79
5-29-2010 1:30,180095,78
5-29-2010 1:45,176697,78
5-29-2010 2:00,176697,78
5-29-2010 2:15,176697,77
5-29-2010 2:30,173299,77
5-29-2010 2:45,176697,77
5-29-2010 3:00,173299,77
5-29-2010 3:15,173299,78
5-29-2010 3:30,173299,79
5-29-2010 3:45,169901,78
5-29-2010 4:00,169901,77
5-29-2010 4:15,166673,77
5-29-2010 4:30,169901,77
5-29-2010 4:45,166673,77
5-29-2010 5:00,166673,77
5-29-2010 5:15,163445,77
5-29-2010 5:30,163445,77
5-29-2010 5:45,160217,78
5-29-2010 6:00,163445,78
5-29-2010 6:15,157158,79
5-29-2010 6:30,160217,80
5-29-2010 6:45,157158,81
5-29-2010 7:00,154100,80
5-29-2010 7:15,157158,79
5-29-2010 7:30,157158,79
5-29-2010 7:45,154100,79
5-29-2010 8:00,154100,79
5-29-2010 8:15,154100,79
5-29-2010 8:30,148154,79
5-29-2010 8:45,148154,79
5-29-2010 9:00,151042,79
5-29-2010 9:15,151042,79
5-29-2010 9:30,145096,80
5-29-2010 9:45,148154,82
5-29-2010 10:00,145096,81
5-29-2010 10:15,148154,80
5-29-2010 10:30,145096,80
5-29-2010 10:45,145096,80
5-29-2010 11:00,142207,80
5-29-2010 11:15,145096,80
5-29-2010 11:30,148154,80
5-29-2010 11:45,145096,80
5-29-2010 12:00,142207,81
5-29-2010 12:15,145096,81
5-29-2010 12:30,142207,82
5-29-2010 12:45,142207,83
5-29-2010 13:00,142207,83
5-29-2010 13:15,142207,82
5-29-2010 13:30,139319,81
5-29-2010 13:45,139319,81
5-29-2010 14:00,139319,81
5-29-2010 14:15,139319,81
5-29-2010 14:30,139319,81
5-29-2010 14:45,139319,81
5-29-2010 15:00,139319,81
5-29-2010 15:15,139319,81
5-29-2010 15:30,139319,82
5-29-2010 15:45,139319,82
5-29-2010 16:00,139319,83
5-29-2010 16:15,139319,83
5-29-2010 16:30,139319,82
5-29-2010 16:45,142207,81
5-29-2010 17:00,142207,81
5-29-2010 17:15,139319,81
5-29-2010 17:30,139319,81
5-29-2010 17:45,139319,81
5-29-2010 18:00,139319,81
5-29-2010 18:15,139319,81
5-29-2010 18:30,139319,81
5-29-2010 18:45,139319,82
5-29-2010 19:00,142207,82
5-29-2010 19:15,142207,83
5-29-2010 19:30,142207,83
5-29-2010 19:45,142207,82
5-29-2010 20:00,145096,82
5-29-2010 20:15,145096,82
5-29-2010 20:30,145096,83
5-29-2010 20:45,145096,83
5-29-2010 21:00,145096,83
5-29-2010 21:15,148154,84
5-29-2010 21:30,145096,84
5-29-2010 21:45,148154,86
5-29-2010 22:00,145096,85
5-29-2010 22:15,145096,84
5-29-2010 22:30,145096,84
5-29-2010 22:45,145096,83
5-29-2010 23:00,145096,83
5-29-2010 23:15,139319,83
5-29-2010 23:30,142207,83
5-29-2010 23:45,142207,84
5-30-2010 0:00,139319,84
5-30-2010 0:15,139319,85
5-30-2010 0:30,139319,87
5-30-2010 0:45,139319,85
5-30-2010 1:00,139319,86
5-30-2010 1:15,139319,86
5-30-2010 1:30,139319,86
5-30-2010 1:45,139319,85
5-30-2010 2:00,136600,85
5-30-2010 2:15,136600,84
5-30-2010 2:30,136600,85
5-30-2010 2:45,136600,84
5-30-2010 3:00,133712,85
5-30-2010 3:15,136600,85
5-30-2010 3:30,133712,85
5-30-2010 3:45,133712,86
5-30-2010 4:00,136600,86
5-30-2010 4:15,133712,87
5-30-2010 4:30,133712,87
5-30-2010 4:45,133712,86
5-30-2010 5:00,133712,86
5-30-2010 5:15,133712,86
5-30-2010 5:30,130994,86
5-30-2010 5:45,130994,86
5-30-2010 6:00,130994,86
5-30-2010 6:15,130994,87
5-30-2010 6:30,128275,88
5-30-2010 6:45,128275,89
5-30-2010 7:00,128275,89
5-30-2010 7:15,128275,88
5-30-2010 7:30,128275,87
5-30-2010 7:45,128275,87
5-30-2010 8:00,128275,87
5-30-2010 8:15,128275,87
5-30-2010 8:30,128275,87
5-30-2010 8:45,128275,88
5-30-2010 9:00,125727,88
5-30-2010 9:15,125727,88
5-30-2010 9:30,125727,89
5-30-2010 9:45,125727,89
5-30-2010 10:00,123008,90
5-30-2010 10:15,123008,90
5-30-2010 10:30,120460,89
5-30-2010 10:45,123008,88
5-30-2010 11:00,123008,88
5-30-2010 11:15,123008,88
5-30-2010 11:30,123008,88
5-30-2010 11:45,120460,88
5-30-2010 12:00,120460,88
5-30-2010 12:15,120460,89
5-30-2010 12:30,117911,89
5-30-2010 12:45,120460,91
5-30-2010 13:00,117911,91
5-30-2010 13:15,120460,90
5-30-2010 13:30,120460,89
5-30-2010 13:45,123008,89
5-30-2010 14:00,120460,89
5-30-2010 14:15,120460,89
5-30-2010 14:30,120460,89
5-30-2010 14:45,117911,89
5-30-2010 15:00,120460,89
5-30-2010 15:15,117911,90
5-30-2010 15:30,117911,91
5-30-2010 15:45,117911,92
5-30-2010 16:00,117911,91
5-30-2010 16:15,117911,90
5-30-2010 16:30,117911,89
5-30-2010 16:45,117911,89
5-30-2010 17:00,117911,89
5-30-2010 17:15,120460,89
5-30-2010 17:30,117911,89
5-30-2010 17:45,117911,90
5-30-2010 18:00,117911,90
5-30-2010 18:15,115363,90
5-30-2010 18:30,117911,91
5-30-2010 18:45,117911,92
5-30-2010 19:00,117911,92
5-30-2010 19:15,117911,91
