DateTime (MDT),Avg Load (g/min)
10-01 00:00,10927.94562
10-01 00:15,10945.84169
10-01 00:30,10886.42714
10-01 00:45,11043.06073
10-01 01:00,11001.37852
10-01 01:15,11030.55906
10-01 01:30,11058.95802
10-01 01:45,10998.06376
10-01 02:00,10996.28297
10-01 02:15,11004.96938
10-01 02:30,10970.12108
10-01 02:45,11097.18362
10-01 03:00,11022.38852
10-01 03:15,10922.46718
10-01 03:30,11021.94458
10-01 03:45,10987.98436
10-01 04:00,11163.23772
10-01 04:15,10923.93763
10-01 04:30,10929.08788
10-01 04:45,11024.90071
10-01 05:00,10877.53036
10-01 05:15,11012.0888
10-01 05:30,11006.09442
10-01 05:45,10849.08596
10-01 06:00,11014.16047
10-01 06:15,10911.25305
10-01 06:30,10938.87408
10-01 06:45,10908.86147
10-01 07:00,10775.96068
10-01 07:15,10865.64859
10-01 07:30,10816.86218
10-01 07:45,10791.06102
10-01 08:00,10854.8818
10-01 08:15,10709.19942
10-01 08:30,10705.11999
10-01 08:45,10752.6571
10-01 09:00,10688.3476
10-01 09:15,10605.91145
10-01 09:30,10497.66969
10-01 09:45,10456.04187
10-01 10:00,10433.24813
10-01 10:15,10533.91751
10-01 10:30,10459.39487
10-01 10:45,10404.69465
10-01 11:00,10437.13163
10-01 11:15,10400.85687
10-01 11:30,10294.03044
10-01 11:45,10282.69216
10-01 12:00,10302.02895
10-01 12:15,10234.1556
10-01 12:30,10213.58466
10-01 12:45,10220.42454
10-01 13:00,10319.75264
10-01 13:15,10156.10171
10-01 13:30,10081.96075
10-01 13:45,10092.61563
10-01 14:00,10235.05228
10-01 14:15,10271.9755
10-01 14:30,10216.61968
10-01 14:45,10117.62518
10-01 15:00,10062.71531
10-01 15:15,9918.716495
10-01 15:30,10003.18003
10-01 15:45,9980.424644
10-01 16:00,10145.57416
10-01 16:15,9989.77215
10-01 16:30,10078.61306
10-01 16:45,10001.8082
10-01 17:00,9970.359623
10-01 17:15,9896.893618
10-01 17:30,9874.145009
10-01 17:45,9881.377561
10-01 18:00,9949.445622
10-01 18:15,9898.069805
10-01 18:30,9838.064039
10-01 18:45,9910.874219
10-01 19:00,9822.538592
