Date-Time (MDT),Avg Load
10-01 00:00,28993.29122
10-01 00:15,28986.65667
10-01 00:30,29074.63606
10-01 00:45,29133.44142
10-01 01:00,29015.94717
10-01 01:15,29169.13045
10-01 01:30,29213.05232
10-01 01:45,29209.87389
10-01 02:00,29133.81832
10-01 02:15,29208.79859
10-01 02:30,29177.73408
10-01 02:45,29294.05902
10-01 03:00,29303.50027
10-01 03:15,29354.98168
10-01 03:30,29316.12552
10-01 03:45,29395.45913
10-01 04:00,29467.67042
10-01 04:15,29499.28039
10-01 04:30,29617.71135
10-01 04:45,29701.41782
10-01 05:00,29817.68401
10-01 05:15,29889.89317
10-01 05:30,29874.78801
10-01 05:45,30112.26502
10-01 06:00,30252.97751
10-01 06:15,30353.62352
10-01 06:30,30390.94958
10-01 06:45,30417.66289
10-01 07:00,30566.02161
10-01 07:15,30558.12427
10-01 07:30,30558.12427
10-01 07:45,30505.58438
10-01 08:00,30625.45635
10-01 08:15,30531.59924
10-01 08:30,30463.06745
10-01 08:45,30463.06745
10-01 09:00,30597.34381
10-01 09:15,30652.3805
10-01 09:30,30461.70696
10-01 09:45,30489.16577
10-01 10:00,30416.53251
10-01 10:15,30453.41302
10-01 10:30,30540.58612
10-01 10:45,30443.40671
10-01 11:00,30475.96432
10-01 11:15,30486.90742
10-01 11:30,30486.90742
10-01 11:45,30355.50778
10-01 12:00,30431.46308
10-01 12:15,30393.36332
10-01 12:30,30505.08589
10-01 12:45,30405.54831
10-01 13:00,30452.7677
10-01 13:15,30481.59489
10-01 13:30,30363.49401
10-01 13:45,30527.07124
10-01 14:00,30499.02847
10-01 14:15,30340.07872
10-01 14:30,30449.62036
10-01 14:45,30432.21788
10-01 15:00,30364.30124
10-01 15:15,30153.42673
10-01 15:30,30146.71718
10-01 15:45,30100.19331
10-01 16:00,29935.06676
10-01 16:15,29893.94376
10-01 16:30,29894.80905
10-01 16:45,29772.35725
10-01 17:00,29807.49469
10-01 17:15,29821.68124
10-01 17:30,29758.53087
10-01 17:45,29675.9407
10-01 18:00,29517.1544
10-01 18:15,29476.54393
10-01 18:30,29455.12894
10-01 18:45,29409.77432
10-01 19:00,29409.77432
10-01 19:15,29428.64818
10-01 19:30,29282.08509
10-01 19:45,29380.07085
10-01 20:00,29331.58223
10-01 20:15,29226.78291
10-01 20:30,29330.38899
10-01 20:45,29367.84019
10-01 21:00,29284.33886
10-01 21:15,29286.52525
10-01 21:30,29345.96787
10-01 21:45,29247.64391
10-01 22:00,29162.34135
10-01 22:15,29045.54262
10-01 22:30,29045.54262
10-01 22:45,29030.32098
10-01 23:00,29036.40123
10-01 23:15,28937.78085
10-01 23:30,29004.69991
10-01 23:45,28996.58464
10-02 00:00,28877.56907
10-02 00:15,28931.66075
10-02 00:30,28824.64671
10-02 00:45,28801.4
10-02 01:00,28830.69313
10-02 01:15,28809.21991
10-02 01:30,28848.23687
10-02 01:45,28793.57149
10-02 02:00,28793.57149
10-02 02:15,28847.2198
10-02 02:30,28886.01507
10-02 02:45,28890.2271
10-02 03:00,28928.80068
10-02 03:15,28835.75288
10-02 03:30,28888.10153
10-02 03:45,28797.87482
10-02 04:00,28796.82497
10-02 04:15,28872.642
10-02 04:30,29007.17567
10-02 04:45,28984.78525
10-02 05:00,28984.18114
10-02 05:15,29026.99719
10-02 05:30,28966.91994
10-02 05:45,28997.51278
10-02 06:00,29088.18286
10-02 06:15,28972.04921
10-02 06:30,28949.6588
10-02 06:45,29077.54184
10-02 07:00,28964.48134
10-02 07:15,28974.07473
10-02 07:30,29024.36737
10-02 07:45,29061.61082
10-02 08:00,29008.62757
10-02 08:15,29033.89991
10-02 08:30,29008.62757
10-02 08:45,29051.60441
10-02 09:00,29104.58767
10-02 09:15,29113.70731
10-02 09:30,29020.34657
10-02 09:45,29032.31768
10-02 10:00,29057.59002
10-02 10:15,29004.38508
10-02 10:30,29009.70558
10-02 10:45,29032.09599
10-02 11:00,29057.36834
10-02 11:15,28964.48137
10-02 11:30,28958.05244
10-02 11:45,28964.48137
10-02 12:00,28973.12717
10-02 12:15,28961.59943
10-02 12:30,28973.12717
10-02 12:45,28973.12717
10-02 13:00,28973.12717
10-02 13:15,28965.8419
10-02 13:30,28938.35269
10-02 13:45,28873.87217
10-02 14:00,28896.70596
10-02 14:15,28940.79125
10-02 14:30,28914.41046
10-02 14:45,28956.05719
10-02 15:00,29027.85336
10-02 15:15,28965.17669
10-02 15:30,28878.0536
10-02 15:45,28903.32595
10-02 16:00,28979.14299
10-02 16:15,29023.44995
10-02 16:30,28990.66872
10-02 16:45,28965.39638
10-02 17:00,29027.24712
10-02 17:15,29001.97478
10-02 17:30,28907.34481
10-02 17:45,28930.84365
10-02 18:00,28901.83563
10-02 18:15,28957.44865
10-02 18:30,28891.19463
10-02 18:45,29002.19898
10-02 19:00,29024.87191
10-02 19:15,28997.16101
